"SOURCE","TARGET"
"Kevin Rudolf","Gabe Saporta"
"Jacob Kasher","Gabe Saporta"
"Miles McCollum","Kyle Harvey"
"Joshua Portillo","Kyle Harvey"
"Justin Howze","Kyle Harvey"
"Malik Keith","Kyle Harvey"
"Christopher Bridges","Ciara Harris"
"Andre Harris","Ciara Harris"
"Vidal Davis","Ciara Harris"
"Doncarlos Price","Ciara Harris"
"Clifford Harris","Dan Bălan"
"Makeba Riddick","Dan Bălan"
"Justin Smith","Dan Bălan"
"Savan Kotecha","Max Martin"
"Peter Svensson","Max Martin"
"Ali Payami","Max Martin"
"Abel Tesfaye","Max Martin"
"Ahmad Balshe","Max Martin"
"Brandon Hodge","Usher Raymond IV"
"Christopher ""Talent"" Perry","Usher Raymond IV"
"Theron Thomas","Usher Raymond IV"
"Timothy Thomas","Usher Raymond IV"
"Keith Thomas","Usher Raymond IV"
"Jeffrey Lamar Williams","Usher Raymond IV"
"Kgaugelo Nalane","Usher Raymond IV"
"Jean Baptiste","William Adams"
"Stacy Ferguson","William Adams"
"Jaime Gomez","William Adams"
"Sylvia Gordon","William Adams"
"Keith Harris","William Adams"
"Allan Lindo","William Adams"
"Christine Yarian","Freddie Perren"
"Thomas McElroy","Denzil Foster"
"James Brown","Denzil Foster"
"Fred Wesley","Denzil Foster"
"John Starks","Denzil Foster"
"Cory Rooney","Marc Anthony"
"Cody Hanson","Austin John Winkler"
"Brian Howes","Austin John Winkler"
"Joseph Lombardo","Austin John Winkler"
"Julia Michaels","Justin Tranter"
"Robin Fredriksson","Justin Tranter"
"Mattias Larsson","Justin Tranter"
"Max Martin","Justin Tranter"
"Selena Gomez","Justin Tranter"
"Ryan Tedder","Hailee Steinfeld"
"Zach Skelton","Hailee Steinfeld"
"Tim Sommers","Hailee Steinfeld"
"Jeremy Dussolliet","Hailee Steinfeld"
"Asia Whiteacre","Hailee Steinfeld"
"Samuel Barnes","Beyoncé Knowles"
"Cory Rooney","Beyoncé Knowles"
"Jean-Claude Olivier","Beyoncé Knowles"
"Chester Bennington","Brad Delson"
"Joe Hahn","Brad Delson"
"Mike Shinoda","Brad Delson"
"Rob Bourdon","Brad Delson"
"Mark DeBarge","Ashanti Douglas"
"Etterlene Jordan","Ashanti Douglas"
"Irving Lorenzo","Ashanti Douglas"
"Scott Storch","Beyoncé Knowles"
"Robert Waller","Beyoncé Knowles"
"Darrin O'Brien","Edmond Leary"
"Shawn Moltke","Edmond Leary"
"Terri Moltke","Edmond Leary"
"Jeffrey Silva (associate writer)","Edmond Leary"
"V. Brown","A. Bahr"
"A. Criss","A. Bahr"
"K. Gist","A. Bahr"
"R. Neufville","A. Bahr"
"J. Norris","A. Bahr"
"Don DuBose","Joe Rich"
"Gerald Baillergeau","Jerome Woods"
"Mike Mushok","Aaron Lewis"
"Johnny April","Aaron Lewis"
"Jon Wysocki","Aaron Lewis"
"Stacy Ferguson","Will Adams"
"Dania Maria Birks","Will Adams"
"Juana Michelle Burns","Will Adams"
"Juanita A. Lee","Will Adams"
"Kim Nazel","Will Adams"
"Fatima Shaheed","Will Adams"
"Derrick Rahming","Will Adams"
"Oscar Washington","Will Adams"
"Lewis P. Simpkins","Will Adams"
"Jimmy Forrest","Will Adams"
"Ryan Gallagher","Will Adams"
"Dave Bassett","Rachel Platten"
"Nuno Bettencourt","Gary Cherone"
"LaShawn Daniels","Rodney Jerkins"
"Cory Rooney","Rodney Jerkins"
"Jennifer Lopez","Rodney Jerkins"
"Fred Jerkins III","Rodney Jerkins"
"Jerry Duplessis","Wyclef Jean"
"Pharrell Williams","Victor Santiago"
"Chad Hugo","Victor Santiago"
"Greg Camp","Victor Santiago"
"Philip Lawrence","Bruno Mars"
"Ari Levine","Bruno Mars"
"Brody Brown","Bruno Mars"
"Claude Kelly","Bruno Mars"
"Andrew Wyatt","Bruno Mars"
"Joe Khajadourian","Alex Schwartz"
"Brenda Russell","Alex Schwartz"
"Jeff Hull","Alex Schwartz"
"Maarten Hoogstraten","Alex Schwartz"
"Paul Bäumer","Alex Schwartz"
"Calvin Harris","Alex Schwartz"
"Pierre-Antoine Melki","Alex Schwartz"
"Raphaël Judrin","Alex Schwartz"
