Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
34,Cal Poly,24,13,11,0.542,-1.97,-0.47,,8,8,,7,4,,6,7,,1481,1517,,975,506,1296,0.39,187,566,0.33,318,446,0.713,183,684,297,184,69,362,344
35,Cal State Bakersfield,18,9,9,0.5,-4.63,-3.19,,7,6,,3,8,,6,1,,1080,1106,,720,377,981,0.384,122,375,0.325,230,326,0.706,197,606,212,130,35,267,275
36,Cal State Fullerton,22,4,18,0.182,-10.66,-0.61,,2,14,,3,8,,1,10,,1248,1320,,889,465,1131,0.411,138,394,0.35,252,356,0.708,170,612,251,194,46,276,346
37,California,17,1,16,0.059,0.01,19.65,,1,12,,1,9,,0,7,,846,1180,,679,465,1088,0.427,124,359,0.345,126,188,0.67,197,552,275,179,61,179,267
38,California Baptist,27,26,1,0.963,5.91,-8.09,,14,0,,15,1,,11,0,,2100,1569,,1085,547,1626,0.336,140,539,0.26,335,510,0.657,286,925,286,204,64,375,368
39,Campbell,23,16,7,0.696,-11.82,-19.69,,11,4,,9,3,,7,4,,1382,1203,,940,437,1248,0.35,98,365,0.268,231,349,0.662,195,723,178,171,74,364,351
40,Canisius,5,0,5,0,-32.13,-7.33,,0,4,,0,1,,0,4,,243,367,,200,142,321,0.442,31,94,0.33,52,76,0.684,82,226,86,33,17,70,76
41,Central Arkansas,27,13,14,0.481,-12.95,-7.91,,9,7,,8,4,,5,10,,1479,1509,,1080,523,1265,0.413,107,338,0.317,356,531,0.67,206,682,301,197,90,414,476
42,Central Connecticut State,18,4,14,0.222,-24.29,-16.51,,4,14,,2,7,,2,7,,1112,1252,,719,482,1155,0.417,124,345,0.359,164,241,0.68,226,688,255,158,54,291,299
43,Central Michigan NCAA,27,18,9,0.667,7.25,3.88,,13,6,,9,4,,9,4,,2097,2006,,1094,724,1661,0.436,206,609,0.338,352,457,0.77,233,855,316,160,50,358,430
44,Charleston Southern,23,6,17,0.261,-28.25,-17.61,,4,14,,4,8,,2,9,,1335,1490,,924,544,1363,0.399,173,535,0.323,229,321,0.713,251,777,312,168,62,262,329
45,Charlotte,22,10,12,0.455,4.03,1.35,,9,5,,6,6,,4,6,,1662,1603,,926,577,1438,0.401,125,437,0.286,324,482,0.672,242,795,280,141,61,294,455
46,Chattanooga,24,14,10,0.583,-8.11,-9.36,,9,5,,6,6,,8,4,,1525,1495,,964,550,1454,0.378,128,407,0.314,267,374,0.714,259,803,264,204,69,365,422
47,Chicago State,14,0,14,0,-29.35,-6.78,,0,10,,0,7,,0,7,,685,1001,,560,363,811,0.448,85,261,0.326,190,273,0.696,153,493,234,154,57,213,257
48,Cincinnati,24,8,16,0.333,1.92,6.54,,6,12,,2,10,,6,6,,1483,1594,,970,576,1436,0.401,128,419,0.305,314,468,0.671,260,771,346,227,89,335,351
49,Clemson,26,12,14,0.462,12.27,10.42,,5,12,,8,7,,4,7,,1837,1789,,1055,678,1620,0.419,164,532,0.308,269,408,0.659,255,837,323,207,88,410,485
50,Cleveland State,23,14,9,0.609,0.71,-1.34,,8,8,,9,3,,4,6,,1473,1344,,919,499,1263,0.395,129,438,0.295,217,324,0.67,203,752,302,161,71,386,421
51,Coastal Carolina,18,3,15,0.167,-21.89,-7.08,,0,13,,3,7,,0,8,,1165,1269,,721,462,1086,0.425,152,420,0.362,193,269,0.717,235,592,280,166,51,244,288
52,Colgate,9,1,8,0.111,-27.21,-10.43,,1,8,,0,5,,1,3,,497,648,,360,226,501,0.451,77,205,0.376,119,180,0.661,93,328,153,61,23,121,147
53,College of Charleston,15,6,9,0.4,-14.79,-5.94,,2,6,,5,4,,1,5,,986,1001,,601,356,847,0.42,69,232,0.297,220,312,0.705,182,613,173,80,57,266,253
54,Colorado,23,12,11,0.522,18.37,15.96,,8,8,,9,4,,3,7,,1487,1357,,924,492,1219,0.404,150,490,0.306,223,324,0.688,186,665,280,181,96,344,364
55,Colorado State,21,15,6,0.714,8.48,0.85,,11,5,,9,1,,6,5,,1630,1278,,852,477,1235,0.386,127,400,0.318,197,284,0.694,166,694,214,106,58,226,281
56,Connecticut NCAA,30,28,2,0.933,38.87,9.57,,18,0,,14,0,,10,1,,2456,1577,,1205,597,1771,0.337,176,647,0.272,207,315,0.657,233,790,323,167,69,498,467
