Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
27,Boston University,29,18,11,0.621,-9.47,-9.19,,10,8,,14,2,,4,9,,1833,1808,,66.8,91.8,0.216,0.319,0.466,51.1,58.4,11.4,7.9,0.436,17,33.5,0.157
28,Bowling Green State,28,16,12,0.571,-1.99,0.08,,10,7,,8,5,,6,7,,1907,1965,,69.4,101.1,0.261,0.331,0.521,50.2,55.9,8.9,9.2,0.488,16.4,30.7,0.196
29,Bradley,30,6,24,0.2,-16.35,-1.39,,2,17,,4,10,,1,13,,1812,2240,,70.5,105.5,0.27,0.307,0.529,55.4,60.9,12.5,8.2,0.499,14.8,33.3,0.194
30,Brigham Young,31,16,15,0.516,11.96,11.51,,6,12,,10,5,,3,10,,2046,2032,,69.7,93.7,0.289,0.33,0.483,46,52.7,11.1,9.4,0.444,15.4,26.1,0.211
31,Brown,26,15,11,0.577,-1.64,-0.12,,6,7,,6,5,,9,6,,1628,1611,,69.8,88.8,0.23,0.285,0.469,53.4,53.4,11,11.2,0.439,20.1,35.8,0.161
32,Bryant,29,15,14,0.517,-12.97,-8.85,,8,8,,10,4,,5,9,,1766,1774,,67.2,90.6,0.229,0.322,0.478,49.3,55.4,11.5,7.9,0.448,18,29.2,0.164
33,Bucknell,29,12,17,0.414,-12.41,-6.72,,9,9,,7,7,,5,10,,1601,1766,,66.7,91,0.218,0.314,0.468,52.5,57.6,13.6,9.6,0.441,16.7,30.6,0.151
34,Buffalo,28,17,11,0.607,-3.57,-6.43,,10,7,,12,4,,5,7,,1860,1743,,69.7,89.3,0.272,0.402,0.467,51.2,63,9.6,7.6,0.437,18.6,31.4,0.182
35,Butler,29,14,15,0.483,5.61,6.46,,6,12,,8,8,,5,7,,1815,1785,,65.6,93.8,0.196,0.317,0.492,49.4,58,11.1,9.9,0.469,16.8,28.7,0.138
36,Cal Poly,28,16,12,0.571,-0.73,-1.27,,12,6,,7,4,,9,8,,1728,1713,,68.2,88.9,0.353,0.34,0.497,47,51.8,13,10.7,0.456,22.1,29.1,0.249
37,Cal State Bakersfield,28,8,20,0.286,-12.57,-4.75,,5,14,,5,7,,3,12,,1655,1858,,68.8,96,0.294,0.374,0.505,56.4,55.5,9.6,7.6,0.472,19.6,34.9,0.208
38,Cal State Fullerton,29,10,19,0.345,-7.86,-2.41,,6,13,,4,9,,5,9,,1719,1877,,69.2,93.6,0.245,0.352,0.505,52,53.6,14,7.3,0.474,20.3,32.2,0.179
39,Cal State Northridge,30,3,27,0.1,-17.42,-2.59,,1,19,,2,14,,1,13,,1655,2089,,72.9,94.8,0.27,0.407,0.49,54.8,64.3,14.2,7.6,0.46,18.8,34.8,0.186
40,California,32,18,14,0.563,17.35,16.54,,7,11,,12,7,,5,6,,2124,2098,,67.5,96.3,0.259,0.267,0.499,48.8,53.4,9.6,8.3,0.47,17.3,32.1,0.181
41,California Baptist,28,25,3,0.893,3.28,-7.29,,17,2,,14,0,,11,3,,2271,1975,,78.7,88.1,0.271,0.441,0.475,49.6,63.2,8.4,9,0.442,18.8,26.3,0.188
42,Campbell,28,15,13,0.536,-5.83,-6.6,,8,9,,9,4,,4,9,,1695,1533,,65.8,82.8,0.232,0.297,0.443,46.2,46.9,11.4,8,0.412,18.2,26,0.16
43,Canisius,28,16,12,0.571,-10.69,-10.73,,11,8,,8,5,,8,7,,1708,1699,,66.3,91.1,0.255,0.342,0.484,47.5,53.7,11.2,11,0.449,17.4,27.4,0.186
44,Central Arkansas,29,19,10,0.655,-1.26,-6.04,,11,5,,12,0,,7,9,,1923,1697,,69.2,83.8,0.313,0.306,0.448,48.1,45.6,9.8,7.3,0.408,19,28.1,0.213
45,Central Connecticut State,29,9,20,0.31,-20.38,-12.69,,7,9,,6,6,,3,14,,1685,1908,,68.5,95.6,0.289,0.305,0.495,55.9,47.6,10.8,7,0.458,19.1,37,0.21
46,Central Michigan,27,6,21,0.222,-16.1,-4.56,,4,12,,3,8,,3,13,,1665,1942,,73.1,97.5,0.267,0.33,0.496,46.1,54.2,14.1,6.8,0.462,15.3,29.7,0.193
47,Charleston Southern,30,11,19,0.367,-17.26,-11.05,,8,8,,8,6,,3,12,,1831,1998,,72.7,91.3,0.264,0.31,0.483,48.2,51.1,12.7,5.6,0.45,18.8,31.3,0.187
48,Charlotte,30,16,14,0.533,4.4,2.4,,9,9,,10,4,,5,8,,1948,1888,,71.2,86.2,0.287,0.342,0.471,48.3,58.8,11.5,9,0.433,21.3,30.8,0.203
49,Chattanooga,30,26,4,0.867,2.71,-6.3,,13,1,,12,2,,11,0,,1940,1619,,64.3,83.9,0.321,0.263,0.456,48.8,40.4,7.9,10.6,0.414,18.7,25.3,0.223
50,Chicago State,27,1,26,0.037,-31.06,-3.48,,,,,1,10,,0,12,,1592,2241,,76.9,106.4,0.345,0.309,0.526,54.6,58.8,14.6,4.8,0.496,16.3,39.2,0.233
51,Cincinnati,30,14,16,0.467,11.58,14.04,,5,13,,8,7,,4,7,,1884,1958,,70.5,92.6,0.306,0.384,0.495,46.7,59,9.2,9.2,0.456,18.2,29.3,0.22
52,Clemson,31,12,19,0.387,11.1,11.75,,5,13,,9,7,,2,9,,2158,2178,,71.4,97.6,0.215,0.355,0.511,49.3,60,12.5,7.9,0.487,17.9,32.1,0.152
53,Cleveland State,32,28,4,0.875,9.07,-5.05,,18,2,,17,0,,9,3,,2411,1959,,71.6,85.5,0.236,0.38,0.472,46.9,61.1,10.1,7.8,0.44,21,28.4,0.171
54,Coastal Carolina,33,12,21,0.364,-5.92,-0.23,,5,13,,5,7,,5,12,,2197,2355,,74.4,95.6,0.325,0.357,0.493,49,52.1,12.3,7.6,0.46,18.5,35.7,0.219
55,Colgate,29,17,12,0.586,-6.17,-10.57,,10,8,,10,5,,7,6,,1820,1622,,65.1,85.6,0.262,0.21,0.467,46.7,49.6,10.5,4.3,0.435,19.1,25.8,0.179
56,College of Charleston,28,20,8,0.714,-0.66,-8.93,,12,5,,12,2,,8,6,,2104,1730,,74.6,82.4,0.271,0.358,0.464,49.4,56.8,7.3,8.6,0.435,23.7,32,0.177
57,Colorado,31,22,9,0.71,29.59,17.79,,11,7,,11,3,,7,4,,2340,1974,,71.2,88.7,0.287,0.325,0.5,46.7,48.6,8.6,10,0.457,20.7,25.1,0.221
58,Colorado State,29,19,10,0.655,5.75,-1.11,,10,8,,13,2,,5,8,,2010,1782,,69.1,88.6,0.213,0.367,0.456,55.6,55.7,7.3,3.9,0.429,16.5,27.6,0.147
59,Columbia,26,21,5,0.808,15.17,1.75,,12,1,,14,1,,7,2,,2001,1652,,70.5,90.2,0.254,0.299,0.484,44.5,57.7,8.4,7.9,0.448,19.1,30.1,0.189
60,Connecticut,31,26,5,0.839,38.48,16.55,,18,0,,13,1,,11,3,,2525,1790,,71.9,80.3,0.208,0.379,0.446,45.6,56.8,7.5,5,0.415,21,27.1,0.149
61,Coppin State,28,11,17,0.393,-10.46,-6.42,,8,6,,5,7,,6,10,,1553,1666,,68,87.4,0.249,0.273,0.471,52,50.2,11.2,9.3,0.44,20.9,34.4,0.173
62,Cornell,25,7,18,0.28,-10.57,-0.13,,1,12,,3,7,,4,11,,1409,1670,,69.4,96.3,0.299,0.327,0.511,51.9,61.4,12,7.8,0.478,18.9,32.3,0.213
63,Creighton,28,24,4,0.857,23.94,12.12,,15,3,,11,2,,10,2,,2082,1751,,68.3,91.6,0.265,0.289,0.477,48.5,56.8,8.6,6.5,0.442,16.2,27.2,0.189
64,Dartmouth,26,7,19,0.269,-16.49,-2.99,,1,13,,4,9,,3,10,,1261,1519,,63.3,92.3,0.143,0.323,0.47,52.5,56.7,11.8,6.8,0.454,16.7,32.1,0.095
65,Davidson,26,18,8,0.692,8.73,-0.85,,8,7,,11,4,,7,4,,1689,1440,,65.2,84.9,0.301,0.264,0.461,48.4,39.5,9.6,6.2,0.417,20.6,30.6,0.22
66,Dayton,31,12,19,0.387,-8.16,0.6,,4,13,,7,7,,2,11,,1967,2135,,70.5,97.4,0.312,0.299,0.52,45,52,10.8,8.3,0.491,17.7,28.4,0.211
