Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,30,17,13,0.567,-5.04,-5.97,,9,9,,12,6,,5,7,,2216,1820,,66.1,111.8,0.296,0.457,0.548,53.7,63.1,11.6,6,0.513,16.9,36,0.224
2,Air Force,33,19,14,0.576,2.69,0.31,,11,7,,11,4,,8,10,,2033,1777,,65.9,92.7,0.227,0.279,0.453,50.6,55.1,16.6,6,0.419,15.1,31.1,0.166
3,Akron,29,17,12,0.586,0.5,1.75,,13,7,,9,4,,8,8,,1947,1885,,70.6,95.1,0.29,0.323,0.509,50.5,58.2,10.3,9.2,0.477,18.1,28.6,0.203
4,Alabama,34,20,14,0.588,14.87,9.6,,6,10,,13,6,,7,8,,2431,2252,,72.6,97.4,0.333,0.392,0.523,48.7,45.8,12.2,6.7,0.486,17.3,29.1,0.239
5,Alabama A&M,29,15,14,0.517,-13.64,-10.53,,13,5,,7,4,,8,10,,1730,1820,,70.7,83.6,0.322,0.215,0.449,51.3,52.5,9,10.6,0.405,18.7,32.3,0.225
6,Alabama State,30,15,15,0.5,-14.43,-7.63,,11,6,,11,2,,4,13,,1910,2030,,75,84.6,0.344,0.251,0.466,50.6,60.3,9.3,9.7,0.424,21.9,33.7,0.236
7,Albany (NY) NCAA,33,23,10,0.697,-4.16,-10.28,,13,5,,16,1,,7,9,,1885,1601,,62.2,91.9,0.245,0.339,0.491,56.6,59.6,13.2,9.9,0.467,20.9,38,0.164
8,Alcorn State,25,3,22,0.12,-30.1,-8.64,,2,14,,1,10,,2,12,,1298,1736,,70,73.8,0.264,0.367,0.422,41.6,53.5,9.7,4.5,0.389,22.9,23.7,0.172
9,American NCAA,32,23,9,0.719,-2.83,-5.61,,13,5,,16,1,,7,8,,1900,1811,,67.7,87,0.273,0.284,0.489,47.3,62.8,12.2,6.2,0.455,19.7,23.8,0.195
10,Appalachian State,26,14,12,0.538,-6.5,-4.63,,8,4,,9,5,,5,7,,1785,1674,,74.7,90.2,0.294,0.455,0.493,48.9,51.2,12.3,5.7,0.469,21.1,27.5,0.187
11,Arizona NCAA,29,21,8,0.724,23.04,13.21,,10,6,,16,3,,5,5,,1949,1664,,68,97.6,0.278,0.321,0.513,49.6,56.6,15,10.9,0.484,15.5,28,0.195
12,Arizona State,26,12,14,0.462,16.21,12.82,,4,8,,11,5,,1,9,,1645,1497,,66.6,94.1,0.284,0.353,0.481,52.9,57.4,10.8,10.6,0.441,17.4,33.8,0.211
13,Arkansas NCAA,32,18,14,0.563,20.22,13.16,,7,9,,14,5,,4,9,,2355,2129,,74.3,98.3,0.315,0.397,0.502,46.7,48,9.9,11.4,0.471,12.8,24.2,0.211
14,Arkansas State,28,12,16,0.429,-5.99,-6.03,,5,9,,8,7,,4,9,,2173,1824,,71.3,108.8,0.311,0.34,0.514,54.4,52.2,12.9,5.8,0.478,16.1,36.3,0.224
15,Arkansas-Pine Bluff,29,13,16,0.448,-11.99,-10.24,,9,9,,6,5,,7,11,,1988,1876,,73.6,93.1,0.344,0.305,0.474,51.6,57.4,10.8,7.4,0.431,17.5,33.3,0.24
16,Army,29,16,13,0.552,-9.02,-7.24,,10,8,,10,4,,6,9,,1841,1813,,69.7,89.9,0.242,0.381,0.461,55.3,48.4,9.4,5.9,0.432,19.3,36.9,0.164
17,Auburn,28,10,18,0.357,8.11,10.29,,2,14,,8,7,,2,11,,1784,1845,,72.6,87.3,0.34,0.23,0.458,48.4,48.5,11.6,8.1,0.419,16.9,30.7,0.225
18,Austin Peay,33,20,13,0.606,-1.8,-5.89,,11,7,,13,4,,7,9,,2182,1903,,65,101,0.332,0.328,0.543,55,56.2,11.2,6.4,0.517,19.6,31.6,0.223
19,Ball State,33,20,13,0.606,4.55,1.25,,11,8,,10,7,,10,6,,2356,2247,,72.6,97.6,0.239,0.444,0.526,48.6,60,10.6,8.4,0.503,15.9,23.5,0.167
20,Baylor NCAA,35,28,7,0.8,28.19,11.87,,15,3,,18,3,,10,4,,2677,2106,,72.7,104.8,0.313,0.317,0.545,54.4,63,9,9.6,0.513,15.1,30.7,0.228
21,Bellarmine,28,4,24,0.143,-20.51,-3.78,,1,15,,4,9,,0,15,,1702,1950,,71.6,84.8,0.234,0.357,0.468,45.3,53.8,9.5,7.3,0.436,21.4,24.9,0.168
22,Belmont NCAA,31,23,8,0.742,13.06,-0.01,,16,2,,12,2,,11,6,,2155,1750,,67.8,101.7,0.242,0.443,0.526,50.4,60.5,13,10.2,0.503,15.5,30.8,0.167
23,Bethune-Cookman,27,6,21,0.222,-22.56,-9.28,,4,13,,3,8,,3,13,,1619,1808,,73.6,81.1,0.337,0.227,0.447,47.6,45,11.6,6.1,0.412,22.2,29.4,0.215
24,Binghamton,29,9,20,0.31,-13.19,-10.27,,5,13,,7,9,,2,11,,1668,1581,,66.6,86,0.217,0.308,0.468,49.3,56.4,10.1,7.8,0.437,20.1,25,0.158
25,Boise State,29,8,21,0.276,-6.02,0.5,,4,13,,7,8,,1,13,,1800,1803,,69,89.6,0.29,0.255,0.459,55.5,58.3,8.1,10.1,0.429,18.7,34,0.186
26,Boston College,33,21,12,0.636,15.89,9.35,,10,8,,15,4,,6,8,,2378,2162,,75.1,95.6,0.29,0.296,0.525,53.3,57.7,11.1,8.7,0.498,20.6,35.7,0.199
27,Boston University,31,17,14,0.548,-1.78,-4.62,,12,6,,11,4,,6,10,,1937,1849,,68.6,91.1,0.222,0.321,0.498,53.9,50.6,8.7,10.6,0.477,19.6,31.2,0.147
28,Bowling Green State,33,17,16,0.515,3.55,1.14,,10,10,,12,7,,5,9,,2403,2226,,72.8,99.6,0.283,0.364,0.544,49.8,58.2,12.7,4.7,0.516,18.1,23.3,0.202
29,Bradley,28,4,24,0.143,-8.18,3.9,,1,17,,4,9,,0,15,,1648,1808,,66.7,88.3,0.271,0.396,0.462,47.7,56.3,7.5,10.5,0.429,17.4,26.2,0.185
30,Brigham Young NCAA,30,26,4,0.867,24.81,6.01,,15,1,,16,2,,10,2,,2314,1639,,69.4,110.6,0.22,0.341,0.547,55.2,66.6,14.2,13.7,0.521,15.1,35.6,0.166
31,Brown,26,6,20,0.231,-18.67,-5.23,,1,13,,2,10,,4,10,,1473,1719,,71,79.8,0.215,0.39,0.449,43.2,51,13.6,7.6,0.422,20.4,21.9,0.146
32,Bryant,32,10,22,0.313,-20.6,-11.05,,6,12,,6,9,,4,13,,1807,1986,,68.7,82.2,0.245,0.265,0.465,52.1,62.9,9.6,7.1,0.432,23.2,31.5,0.174
33,Bucknell,34,24,10,0.706,2.52,-5.16,,12,6,,13,3,,11,7,,2129,1868,,68.1,91.2,0.268,0.279,0.495,49.5,56.1,10.3,7.7,0.463,15.6,21.6,0.189
34,Buffalo NCAA,34,25,9,0.735,12.12,2.94,,16,4,,17,1,,8,8,,2577,2265,,75.6,99.6,0.279,0.269,0.506,52.5,52.7,12.6,9.2,0.472,15.4,35.6,0.203
35,Butler,28,1,27,0.036,-16.65,5.68,,0,18,,1,16,,0,11,,1556,2181,,69.8,78.2,0.217,0.398,0.467,46.8,54.3,6.9,5,0.441,24.1,25.4,0.148
36,Cal Poly,25,3,22,0.12,-13.83,-0.67,,2,13,,2,13,,1,9,,1431,1760,,72.7,77.6,0.233,0.249,0.425,48.6,55.3,8.1,5.6,0.395,18.4,26.1,0.155
37,Cal State Bakersfield,25,5,20,0.2,-9.42,-1.05,,3,11,,4,9,,1,11,,1530,1620,,66.4,91.2,0.282,0.335,0.471,49.8,50.2,10.7,7.2,0.427,17.4,30,0.214
38,Cal State Fullerton,29,11,18,0.379,-5.94,-1.6,,5,12,,9,6,,2,12,,1749,1875,,69.7,86.1,0.309,0.289,0.477,48.8,55.8,10.7,7.7,0.44,19.4,27.6,0.213
39,Cal State Northridge,28,9,19,0.321,-7.94,1.44,,5,12,,5,8,,4,11,,1603,1602,,64.4,87.3,0.283,0.297,0.463,47.9,52,15.8,6.8,0.428,19.6,27,0.193
40,California,24,11,13,0.458,9.98,9.8,,1,10,,8,6,,3,7,,1643,1481,,69.7,97.7,0.306,0.29,0.497,53.3,55.6,12.1,11.6,0.449,17.4,34.4,0.24
41,California Baptist,32,23,9,0.719,1.61,-4.77,,13,5,,11,4,,12,5,,2419,2139,,77.1,96.9,0.239,0.446,0.534,47.8,67.6,12.1,9.8,0.513,17.1,19.1,0.163
42,Campbell,31,23,8,0.742,-8.38,-13.27,,15,3,,14,4,,9,4,,1982,1544,,63.6,99.6,0.269,0.413,0.514,53.6,65.7,13.1,10.2,0.488,19.5,32.6,0.182
43,Canisius,31,6,25,0.194,-18.25,-7.51,,3,17,,5,9,,1,16,,1793,2126,,69.8,82.2,0.231,0.45,0.466,45.2,49.1,9.1,7.5,0.441,21.3,26.7,0.152
44,Central Arkansas,28,9,19,0.321,-16.85,-4.37,,4,12,,7,7,,2,12,,1509,1606,,64.1,83.4,0.304,0.155,0.438,54.9,50.6,10.1,6.6,0.396,21.6,34.7,0.211
45,Central Connecticut State,26,6,20,0.231,-21.17,-11.79,,4,12,,3,8,,3,12,,1516,1760,,70.7,82.5,0.211,0.37,0.448,45.7,47.4,8.8,9.2,0.422,19,27.7,0.143
46,Central Michigan,29,4,25,0.138,-10.17,2.25,,2,18,,2,12,,2,13,,1716,2076,,71.5,82.8,0.221,0.423,0.457,47.5,52.2,8.2,5.3,0.427,19.3,26,0.157
47,Charleston Southern,29,2,27,0.069,-32.22,-9.65,,2,15,,1,14,,1,13,,1435,2019,,71.3,69.4,0.22,0.355,0.421,45.5,56.1,9.3,8.5,0.398,25.7,22.8,0.134
