Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
31,Bucknell,10,9,1,0.9,10.78,-4.32,,8,0,,5,1,,4,0,,706,555,,70.9,78.3,0.229,0.322,0.431,46.5,51.7,5.5,6.1,0.392,16.3,15.9,0.172
32,Buffalo,24,15,9,0.625,4.72,0.1,,11,6,,7,2,,8,7,,1771,1660,,74,92.9,0.307,0.397,0.493,47,63.9,8.5,4.9,0.458,17.8,30.8,0.213
33,Butler,20,3,17,0.15,-8.73,10.57,,3,15,,2,8,,1,9,,1144,1530,,70.6,108.4,0.208,0.416,0.548,58,66.3,12.1,14.4,0.525,15.8,38.3,0.155
34,Cal Poly,24,13,11,0.542,-1.97,-0.47,,8,8,,7,4,,6,7,,1481,1517,,69,90.1,0.344,0.437,0.503,45.3,58.7,10.9,6.6,0.463,19.4,24.5,0.245
35,Cal State Bakersfield,18,9,9,0.5,-4.63,-3.19,,7,6,,3,8,,6,1,,1080,1106,,67.1,91.6,0.332,0.382,0.487,52.5,56.2,10.8,5.1,0.446,19,34.1,0.234
36,Cal State Fullerton,22,4,18,0.182,-10.66,-0.61,,2,14,,3,8,,1,10,,1248,1320,,66.6,89.1,0.315,0.348,0.508,47.7,54,13.1,5.8,0.472,17.5,25.6,0.223
37,California,17,1,16,0.059,0.01,19.65,,1,12,,1,9,,0,7,,846,1180,,68.5,101.3,0.173,0.33,0.501,50.5,59.1,15.4,9.7,0.484,13.2,34.9,0.116
38,California Baptist,27,26,1,0.963,5.91,-8.09,,14,0,,15,1,,11,0,,2100,1569,,75.3,76.8,0.314,0.331,0.42,46.6,52.3,10,6.7,0.379,16.7,25.5,0.206
39,Campbell,23,16,7,0.696,-11.82,-19.69,,11,4,,9,3,,7,4,,1382,1203,,66.8,76.6,0.28,0.292,0.425,46.6,40.7,10.9,8.4,0.389,20.5,25.3,0.185
40,Canisius,5,0,5,0,-32.13,-7.33,,0,4,,0,1,,0,4,,243,367,,68.6,107,0.237,0.293,0.514,67.3,60.6,9.6,10.5,0.491,16.4,49.7,0.162
41,Central Arkansas,27,13,14,0.481,-12.95,-7.91,,9,7,,8,4,,5,10,,1479,1509,,66.3,84.3,0.42,0.267,0.497,43.2,57.6,11,7.8,0.456,21.4,26.5,0.281
42,Central Connecticut State,18,4,14,0.222,-24.29,-16.51,,4,14,,2,7,,2,7,,1112,1252,,73.9,94.1,0.209,0.299,0.493,55.1,52.9,11.9,8.2,0.471,18.6,35.9,0.142
43,Central Michigan NCAA,27,18,9,0.667,7.25,3.88,,13,6,,9,4,,9,4,,2097,2006,,72.9,100.5,0.275,0.367,0.534,49.8,43.6,8,5.5,0.498,16,27,0.212
44,Charleston Southern,23,6,17,0.261,-28.25,-17.61,,4,14,,4,8,,2,9,,1335,1490,,68,94.8,0.236,0.393,0.492,52.9,57.4,10.7,7.2,0.463,14.7,31.4,0.168
45,Charlotte,22,10,12,0.455,4.03,1.35,,9,5,,6,6,,4,6,,1662,1603,,74.2,93.5,0.335,0.304,0.481,49.3,48.5,8.2,5.8,0.445,15,28.9,0.225
46,Chattanooga,24,14,10,0.583,-8.11,-9.36,,9,5,,6,6,,8,4,,1525,1495,,71.7,86.5,0.257,0.28,0.458,50.4,48,11.8,8.2,0.422,18.3,30.9,0.184
47,Chicago State,14,0,14,0,-29.35,-6.78,,0,10,,0,7,,0,7,,685,1001,,71.9,99.4,0.337,0.322,0.532,54.8,64.5,15.3,9.5,0.5,18.5,35.7,0.234
48,Cincinnati,24,8,16,0.333,1.92,6.54,,6,12,,2,10,,6,6,,1483,1594,,71.3,92.2,0.326,0.292,0.481,50.3,60.1,13.1,9.2,0.446,16.8,32.3,0.219
49,Clemson,26,12,14,0.462,12.27,10.42,,5,12,,8,7,,4,7,,1837,1789,,74.8,90.7,0.252,0.328,0.493,45.7,47.6,10.5,7.4,0.469,18.4,28.5,0.166
50,Cleveland State,23,14,9,0.609,0.71,-1.34,,8,8,,9,3,,4,6,,1473,1344,,71.5,81.8,0.257,0.347,0.474,50,60.5,9.8,8.2,0.446,21.4,27.1,0.172
51,Coastal Carolina,18,3,15,0.167,-21.89,-7.08,,0,13,,3,7,,0,8,,1165,1269,,72.2,97.7,0.248,0.387,0.523,48.9,60.6,12.8,6.4,0.495,16.7,36.4,0.178
52,Colgate,9,1,8,0.111,-27.21,-10.43,,1,8,,0,5,,1,3,,497,648,,68,105.9,0.359,0.409,0.552,58,67.7,10,6.9,0.528,17.1,34.8,0.238
53,College of Charleston,15,6,9,0.4,-14.79,-5.94,,2,6,,5,4,,1,5,,986,1001,,75.9,87.9,0.368,0.274,0.503,55.1,48.6,7,8.9,0.461,21.1,36,0.26
54,Colorado,23,12,11,0.522,18.37,15.96,,8,8,,9,4,,3,7,,1487,1357,,68,86.3,0.266,0.402,0.494,46.8,56.9,11.5,10.7,0.465,20,26.1,0.183
55,Colorado State,21,15,6,0.714,8.48,0.85,,11,5,,9,1,,6,5,,1630,1278,,70.7,85.1,0.23,0.324,0.466,47.5,44.9,7.1,6.2,0.438,14.2,21.5,0.16
56,Connecticut NCAA,30,28,2,0.933,38.87,9.57,,18,0,,14,0,,10,1,,2456,1577,,72.9,71.8,0.178,0.365,0.411,41,54.1,7.6,5.2,0.387,20.6,21.9,0.117
57,Coppin State,15,2,13,0.133,-27.37,-12.63,,2,10,,1,6,,1,7,,767,988,,72.7,90.6,0.306,0.285,0.459,54.4,45.7,15.2,11,0.423,16.8,38.3,0.204
58,Creighton,22,10,12,0.455,8.62,11.07,,6,7,,3,6,,7,6,,1367,1421,,68.8,93.4,0.242,0.278,0.497,50.7,55.5,10.8,13,0.464,15.6,24.8,0.179
59,Davidson,23,8,15,0.348,-5.54,-1.45,,5,10,,6,6,,3,8,,1438,1532,,70.5,94.5,0.299,0.319,0.507,52.6,45.7,10,6.2,0.472,17,28.9,0.213
60,Dayton,19,14,5,0.737,5.76,-2.55,,12,1,,6,4,,8,1,,1267,1109,,69.1,84,0.281,0.349,0.452,41.8,52.8,9.1,7.2,0.413,15.9,20.8,0.199
61,Delaware,29,24,5,0.828,7.68,-2.9,,16,2,,15,2,,9,3,,2161,1754,,73.3,82.1,0.327,0.296,0.48,42.3,52,8.1,3.9,0.441,21.9,27.2,0.228
62,Delaware State,15,3,12,0.2,-21.24,-15.24,,2,8,,2,7,,1,5,,870,899,,70.9,84.5,0.343,0.315,0.479,48.9,46.1,9.2,6.7,0.444,21.8,33.8,0.226
63,Denver,23,7,16,0.304,-5.99,0.05,,5,9,,4,6,,3,10,,1652,1791,,75.2,103,0.249,0.377,0.52,53.3,52.2,8.8,8.8,0.497,14,32.2,0.169
64,DePaul,24,14,10,0.583,11.78,8.62,,11,5,,8,8,,6,2,,1957,1881,,81.5,95.6,0.245,0.293,0.549,52.8,57.5,9.9,9.3,0.53,22.3,32.8,0.168
65,Detroit Mercy,14,1,13,0.071,-14.38,1.12,,1,9,,0,8,,1,5,,804,1021,,72,100.4,0.395,0.348,0.529,58.3,67.3,13.5,13.2,0.506,19.8,41.5,0.244
66,Drake,30,18,12,0.6,13.54,6.71,,13,5,,11,4,,7,8,,2292,2087,,75.3,92,0.245,0.373,0.495,45.4,53.4,12.8,8.6,0.463,16.6,26.1,0.178
67,Drexel NCAA,23,14,9,0.609,-0.08,-3.51,,8,6,,3,3,,11,5,,1407,1328,,65.4,87.9,0.271,0.347,0.468,55.7,54,8,6.9,0.434,21.6,40.4,0.188
68,Duke,4,3,1,0.75,12.9,-1.61,,0,1,,3,1,,,,,298,240,,70.3,85.4,0.172,0.256,0.423,38.7,35.1,12.5,5.6,0.405,13.2,27.5,0.107
69,Duquesne,16,5,11,0.313,-8.11,-2.42,,4,7,,2,3,,3,8,,999,1090,,70.9,94.6,0.292,0.344,0.51,51.8,59.2,9.4,10.5,0.482,17.9,29.9,0.196
70,East Carolina,22,8,14,0.364,1.19,5.33,,6,10,,4,6,,4,8,,1326,1417,,73.8,87.3,0.399,0.293,0.512,54.6,67.7,11.3,8,0.47,25.2,37.7,0.277
71,East Tennessee State,20,4,16,0.2,-17.57,-8.26,,1,10,,2,6,,2,10,,1166,1274,,71.2,88.4,0.334,0.352,0.5,50.3,53.3,11.4,6.5,0.46,21.1,31.4,0.237
72,Eastern Illinois,26,11,15,0.423,-4.37,-2.45,,9,11,,7,6,,4,9,,1686,1736,,69.7,95.8,0.326,0.374,0.538,52.7,59,11,8.7,0.505,20.8,31.5,0.233
73,Eastern Kentucky,24,9,15,0.375,-8.63,0.25,,8,12,,4,6,,5,9,,1493,1706,,72.6,98,0.275,0.385,0.5,51.9,62.5,11.9,9.2,0.462,15.8,33.5,0.207
74,Eastern Michigan,20,10,10,0.5,2.43,0.58,,7,7,,4,6,,6,4,,1281,1244,,74.5,83.5,0.388,0.347,0.471,48.8,50.5,9.4,5.8,0.424,19.7,23.4,0.268
75,Eastern Washington,23,6,17,0.261,-15.2,-4.79,,5,12,,3,10,,3,7,,1435,1605,,70.8,98.5,0.265,0.375,0.524,52.6,55.3,12.8,6.6,0.485,17.6,34.3,0.21
76,Elon,15,7,8,0.467,-2,-1.8,,3,5,,4,3,,3,5,,947,950,,72,88,0.29,0.314,0.504,54.3,52.5,11.7,8.8,0.468,22.5,33.6,0.211
77,Evansville,23,6,17,0.261,-15.81,2.69,,2,15,,5,8,,1,9,,1257,1580,,70.9,96.4,0.23,0.493,0.498,54,65,14.9,10.2,0.471,15,32.2,0.164
78,Fairfield,16,11,5,0.688,-7.29,-12.54,,9,3,,5,2,,6,3,,945,861,,64.5,83.3,0.214,0.396,0.448,51.2,57.1,9.9,5.8,0.421,19.6,31.4,0.144
79,FDU,24,16,8,0.667,-14.72,-16.43,,12,6,,8,4,,8,4,,1446,1405,,67.6,86.1,0.23,0.305,0.463,50.9,51.8,9.3,7.5,0.434,18.3,28.2,0.16
80,Florida,26,12,14,0.462,10.88,9.11,,3,11,,9,6,,3,8,,1872,1826,,74.6,93.7,0.239,0.264,0.491,47.7,46.5,8.9,8.8,0.462,15.5,28.6,0.17
81,Florida Atlantic,22,11,11,0.5,-2.49,-2.3,,8,8,,8,2,,3,9,,1598,1498,,76.6,88.9,0.364,0.331,0.478,46.2,52.8,10.7,4.6,0.439,17.5,30.4,0.243
82,Florida Gulf Coast NCAA,29,26,3,0.897,13.86,-6.77,,16,0,,15,2,,11,0,,2366,1632,,73.1,76.9,0.338,0.276,0.462,48.7,44.8,6.3,6.1,0.425,21.1,20.3,0.221
83,Florida International,28,15,13,0.536,-6.62,-3.34,,8,8,,6,8,,8,5,,2064,1846,,71.1,91.1,0.281,0.319,0.517,47.5,55.8,9.3,8.9,0.497,17.2,28.9,0.177
