Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
28,Bowling Green State,28,16,12,0.571,-1.99,0.08,,10,7,,8,5,,6,7,,1907,1965,,1120,721,1677,0.43,195,555,0.351,328,437,0.751,307,980,403,172,92,371,485
29,Bradley,30,6,24,0.2,-16.35,-1.39,,2,17,,4,10,,1,13,,1812,2240,,1205,842,1877,0.449,191,576,0.332,365,506,0.721,359,1172,513,265,90,369,447
30,Brigham Young,31,16,15,0.516,11.96,11.51,,6,12,,10,5,,3,10,,2046,2032,,1245,719,1850,0.389,204,611,0.334,390,535,0.729,312,1042,379,240,107,384,528
31,Brown,26,15,11,0.577,-1.64,-0.12,,6,7,,6,5,,9,6,,1628,1611,,1040,611,1549,0.394,139,442,0.314,250,356,0.702,341,1026,326,199,99,431,407
32,Bryant,29,15,14,0.517,-12.97,-8.85,,8,8,,10,4,,5,9,,1766,1774,,1165,670,1673,0.4,160,538,0.297,274,383,0.715,306,1024,371,226,81,407,492
33,Bucknell,29,12,17,0.414,-12.41,-6.72,,9,9,,7,7,,5,10,,1601,1766,,1165,675,1709,0.395,158,537,0.294,258,372,0.694,323,1053,389,265,104,377,458
34,Buffalo,28,17,11,0.607,-3.57,-6.43,,10,7,,12,4,,5,7,,1860,1743,,1120,630,1651,0.382,182,664,0.274,301,449,0.67,341,1076,397,188,85,426,467
35,Butler,29,14,15,0.483,5.61,6.46,,6,12,,8,8,,5,7,,1815,1785,,1160,695,1660,0.419,166,526,0.316,229,325,0.705,281,943,403,211,96,367,400
36,Cal Poly,28,16,12,0.571,-0.73,-1.27,,12,6,,7,4,,9,8,,1728,1713,,1130,591,1475,0.401,163,502,0.325,368,520,0.708,275,866,306,251,112,489,488
37,Cal State Bakersfield,28,8,20,0.286,-12.57,-4.75,,5,14,,5,7,,3,12,,1655,1858,,1125,669,1613,0.415,184,604,0.305,336,474,0.709,351,1168,371,186,73,447,414
38,Cal State Fullerton,29,10,19,0.345,-7.86,-2.41,,6,13,,4,9,,5,9,,1719,1877,,1160,692,1666,0.415,194,587,0.33,299,408,0.733,324,1047,371,280,83,475,428
39,Cal State Northridge,30,3,27,0.1,-17.42,-2.59,,1,19,,2,14,,1,13,,1655,2089,,1210,751,1888,0.398,236,769,0.307,351,509,0.69,415,1318,483,314,93,493,462
40,California,32,18,14,0.563,17.35,16.54,,7,11,,12,7,,5,6,,2124,2098,,1290,794,1870,0.425,171,499,0.343,339,485,0.699,364,1127,424,210,90,440,504
41,California Baptist,28,25,3,0.893,3.28,-7.29,,17,2,,14,0,,11,3,,2271,1975,,1140,696,1842,0.378,237,812,0.292,346,499,0.693,318,1172,440,189,92,480,502
42,Campbell,28,15,13,0.536,-5.83,-6.6,,8,9,,9,4,,4,9,,1695,1533,,1125,582,1558,0.374,119,462,0.258,250,361,0.693,261,876,273,212,71,385,427
43,Canisius,28,16,12,0.571,-10.69,-10.73,,11,8,,8,5,,8,7,,1708,1699,,1125,633,1567,0.404,142,536,0.265,291,399,0.729,264,919,340,208,102,370,444
44,Central Arkansas,29,19,10,0.655,-1.26,-6.04,,11,5,,12,0,,7,9,,1923,1697,,1170,603,1650,0.365,140,505,0.277,351,517,0.679,313,1024,275,198,79,445,451
45,Central Connecticut State,29,9,20,0.31,-20.38,-12.69,,7,9,,6,6,,3,14,,1685,1908,,1165,698,1694,0.412,156,517,0.302,356,490,0.727,388,1173,332,215,86,455,421
46,Central Michigan,27,6,21,0.222,-16.1,-4.56,,4,12,,3,8,,3,13,,1665,1942,,1090,707,1738,0.407,192,574,0.334,336,464,0.724,323,987,383,281,74,354,468
47,Charleston Southern,30,11,19,0.367,-17.26,-11.05,,8,8,,8,6,,3,12,,1831,1998,,1205,736,1838,0.4,182,570,0.319,344,485,0.709,362,1096,376,277,72,478,480
48,Charlotte,30,16,14,0.533,4.4,2.4,,9,9,,10,4,,5,8,,1948,1888,,1230,677,1765,0.384,176,604,0.291,358,507,0.706,348,1054,398,253,106,542,605
49,Chattanooga,30,26,4,0.867,2.71,-6.3,,13,1,,12,2,,11,0,,1940,1619,,1200,584,1541,0.379,108,405,0.267,343,495,0.693,253,918,236,152,106,409,444
50,Chicago State,27,1,26,0.037,-31.06,-3.48,,,,,1,10,,0,12,,1592,2241,,1095,818,1830,0.447,178,565,0.315,427,631,0.677,429,1180,481,308,64,416,443
51,Cincinnati,30,14,16,0.467,11.58,14.04,,5,13,,8,7,,4,7,,1884,1958,,1200,695,1728,0.402,187,664,0.282,381,528,0.722,315,1051,410,194,117,440,576
52,Clemson,31,12,19,0.387,11.1,11.75,,5,13,,9,7,,2,9,,2158,2178,,1254,832,1933,0.43,220,686,0.321,294,416,0.707,365,1093,499,280,90,464,554
53,Cleveland State,32,28,4,0.875,9.07,-5.05,,18,2,,17,0,,9,3,,2411,1959,,1280,712,1865,0.382,217,709,0.306,318,440,0.723,338,1058,435,231,105,552,644
54,Coastal Carolina,33,12,21,0.364,-5.92,-0.23,,5,13,,5,7,,5,12,,2197,2355,,1325,831,2067,0.402,241,738,0.327,452,672,0.673,479,1286,433,304,109,543,697
55,Colgate,29,17,12,0.586,-6.17,-10.57,,10,8,,10,5,,7,6,,1820,1622,,1165,633,1545,0.41,79,325,0.243,277,405,0.684,248,866,314,199,54,411,483
56,College of Charleston,28,20,8,0.714,-0.66,-8.93,,12,5,,12,2,,8,6,,2104,1730,,1125,636,1653,0.385,165,592,0.279,293,448,0.654,348,1130,361,153,109,580,498
57,Colorado,31,22,9,0.71,29.59,17.79,,11,7,,11,3,,7,4,,2340,1974,,1250,699,1738,0.402,192,564,0.34,384,499,0.77,269,1013,340,192,133,516,460
58,Colorado State,29,19,10,0.655,5.75,-1.11,,10,8,,13,2,,5,8,,2010,1782,,1165,661,1773,0.373,199,650,0.306,261,377,0.692,319,1174,368,147,39,386,406
59,Columbia,26,21,5,0.808,15.17,1.75,,12,1,,14,1,,7,2,,2001,1652,,1040,608,1524,0.399,148,456,0.325,288,387,0.744,281,831,351,153,78,402,411
60,Connecticut,31,26,5,0.839,38.48,16.55,,18,0,,13,1,,11,3,,2525,1790,,1240,660,1828,0.361,198,692,0.286,272,380,0.716,327,1010,375,168,67,535,517
61,Coppin State,28,11,17,0.393,-10.46,-6.42,,8,6,,5,7,,6,10,,1553,1666,,1120,632,1581,0.4,128,431,0.297,274,393,0.697,341,1079,317,213,93,467,459
62,Cornell,25,7,18,0.28,-10.57,-0.13,,1,12,,3,7,,4,11,,1409,1670,,1000,609,1430,0.426,148,467,0.317,304,427,0.712,278,918,374,208,88,381,454
63,Creighton,28,24,4,0.857,23.94,12.12,,15,3,,11,2,,10,2,,2082,1751,,1120,650,1631,0.399,143,472,0.303,308,433,0.711,279,958,369,164,65,355,417
64,Dartmouth,26,7,19,0.269,-16.49,-2.99,,1,13,,4,9,,3,10,,1261,1519,,1040,608,1513,0.402,159,489,0.325,144,217,0.664,298,951,345,195,61,325,352
65,Davidson,26,18,8,0.692,8.73,-0.85,,8,7,,11,4,,7,4,,1689,1440,,1040,516,1367,0.377,107,361,0.296,301,411,0.732,271,840,204,162,58,405,420
66,Dayton,31,12,19,0.387,-8.16,0.6,,4,13,,7,7,,2,11,,1967,2135,,1245,782,1788,0.437,193,535,0.361,378,557,0.679,303,1002,407,237,117,441,488
67,Delaware,29,11,18,0.379,-3.85,-5.82,,7,10,,4,9,,6,6,,1958,1901,,1165,700,1760,0.398,187,567,0.33,314,469,0.67,323,1064,415,228,106,497,496
68,Delaware State,27,8,19,0.296,-24.61,-5.89,,4,10,,5,7,,3,12,,1555,1916,,1090,737,1663,0.443,181,563,0.321,261,389,0.671,353,1051,438,254,89,463,436
69,Denver,29,8,21,0.276,-9.24,-3.21,,5,11,,5,10,,3,11,,1871,2018,,1160,750,1677,0.447,155,463,0.335,363,465,0.781,277,1047,372,166,64,380,512
70,DePaul,31,12,19,0.387,8.06,7.99,,4,14,,9,8,,2,9,,2215,2213,,1250,813,1867,0.435,212,603,0.352,375,517,0.725,314,1184,471,216,97,540,441
71,Detroit Mercy,33,17,16,0.515,-8.84,-5.63,,9,11,,10,3,,6,13,,1988,2094,,1325,740,1927,0.384,199,648,0.307,415,575,0.722,341,1089,371,307,90,444,561
72,Drake,30,25,5,0.833,13.27,1.84,,18,1,,15,2,,10,3,,2428,2085,,1210,790,1915,0.413,230,665,0.346,275,371,0.741,267,918,430,259,102,459,558
73,Drexel,28,14,14,0.5,-2.96,-4.25,,9,8,,9,6,,5,7,,1595,1536,,1128,582,1431,0.407,129,420,0.307,243,345,0.704,265,931,320,175,87,461,361
74,Duke,30,20,10,0.667,27.67,16.37,,11,7,,14,3,,5,7,,2075,1736,,1215,610,1678,0.364,150,471,0.318,366,519,0.705,342,965,278,251,83,523,460
75,Duquesne,30,19,11,0.633,2.85,-0.45,,13,5,,10,3,,8,6,,2098,1999,,1215,709,1821,0.389,218,634,0.344,363,490,0.741,329,1079,403,189,100,409,498
76,East Carolina,29,16,13,0.552,7.43,3.77,,9,9,,10,6,,6,5,,1930,1824,,1181,650,1662,0.391,164,528,0.311,360,534,0.674,424,1125,412,260,73,633,532
77,East Tennessee State,30,18,12,0.6,-5.16,-7.55,,7,7,,12,3,,5,8,,1783,1669,,1200,611,1627,0.376,176,555,0.317,271,408,0.664,326,1034,287,187,70,443,496
78,Eastern Illinois,32,15,17,0.469,-9.56,-7.84,,11,7,,8,4,,6,11,,2113,2168,,1310,816,1994,0.409,202,600,0.337,334,469,0.712,375,1166,466,308,85,469,495
79,Eastern Kentucky,31,21,10,0.677,-4.28,-6.89,,9,7,,11,3,,9,6,,2213,1958,,1240,706,1757,0.402,166,542,0.306,380,528,0.72,300,1106,362,232,109,587,594
80,Eastern Michigan,28,6,22,0.214,-16.53,-4.42,,2,15,,4,8,,2,14,,1602,1904,,1130,688,1625,0.423,189,550,0.344,339,477,0.711,312,1045,396,244,71,440,442
81,Eastern Washington,31,26,5,0.839,7.93,-3.66,,16,2,,12,2,,12,3,,2141,1731,,1245,626,1717,0.365,146,498,0.293,333,437,0.762,308,1103,312,209,81,518,424
82,Elon,30,11,19,0.367,-13.19,-4.48,,7,10,,2,10,,9,8,,1603,1840,,1200,661,1694,0.39,173,574,0.301,345,480,0.719,361,1161,380,231,97,503,438
83,Evansville,30,4,26,0.133,-19.5,-1.44,,2,17,,2,12,,2,14,,1901,2443,,1220,905,1940,0.466,174,577,0.302,459,628,0.731,346,1251,481,318,139,447,605
84,Fairfield,28,27,1,0.964,6.53,-10.55,,19,0,,12,0,,15,1,,2048,1500,,1125,524,1482,0.354,131,485,0.27,321,467,0.687,277,877,272,214,53,541,454
85,FDU,29,13,16,0.448,-17.24,-12.74,,11,5,,8,6,,5,10,,1702,1780,,1165,653,1647,0.396,140,467,0.3,334,433,0.771,316,995,356,208,76,384,468
86,Florida,30,16,14,0.533,16.68,12.15,,5,11,,8,5,,3,9,,2255,2119,,1205,740,1833,0.404,176,534,0.33,463,647,0.716,406,1199,360,210,99,547,532
87,Florida A&M,28,8,20,0.286,-16.66,-5.8,,7,10,,6,5,,2,15,,1666,1970,,1140,677,1609,0.421,160,497,0.322,456,652,0.699,394,1093,374,245,103,531,519
88,Florida Atlantic,29,11,18,0.379,-3.93,1.14,,6,12,,6,8,,5,9,,1781,1905,,1165,722,1801,0.401,184,556,0.331,277,391,0.708,400,1107,403,231,103,395,491
89,Florida Gulf Coast,30,26,4,0.867,14.33,-2.78,,16,0,,15,0,,9,3,,2250,1630,,1200,605,1516,0.399,126,422,0.299,294,437,0.673,241,907,239,166,84,563,566
90,Florida International,29,20,9,0.69,-1.47,-4.83,,11,4,,13,5,,7,4,,2027,1850,,1160,663,1676,0.396,162,540,0.3,362,573,0.632,331,1018,319,246,104,541,553
91,Florida State,31,22,9,0.71,20.65,12.23,,12,6,,13,3,,7,4,,2475,2214,,1260,858,2202,0.39,207,670,0.309,291,410,0.71,442,1366,457,169,106,458,551
92,Fordham,29,12,17,0.414,-2.73,-0.51,,7,10,,10,6,,2,10,,1811,1803,,1165,654,1615,0.405,215,616,0.349,280,382,0.733,306,1016,397,219,69,516,407
93,Fresno State,31,14,17,0.452,-3.31,-3,,7,11,,10,7,,3,9,,2024,1952,,1240,722,1641,0.44,173,493,0.351,335,470,0.713,273,1045,346,191,107,526,456
94,Furman,31,15,16,0.484,-11.91,-8.26,,5,9,,11,4,,3,10,,2051,1986,,1240,760,1867,0.407,173,604,0.286,293,445,0.658,336,1053,385,252,125,451,534
95,Gardner-Webb,30,6,24,0.2,-23.78,-9.34,,5,11,,4,9,,2,14,,1868,2301,,1198,818,1861,0.44,187,600,0.312,478,676,0.707,394,1225,435,245,83,434,457
96,George Mason,29,23,6,0.793,11.7,-0.37,,14,4,,12,1,,11,5,,2062,1673,,1165,605,1616,0.374,164,575,0.285,299,444,0.673,324,1053,319,177,79,546,527
97,George Washington,31,13,18,0.419,-3.16,-1.39,,6,12,,10,5,,3,9,,1812,1804,,1240,642,1654,0.388,156,506,0.308,364,526,0.692,294,1051,314,277,111,480,466
98,Georgetown,29,19,10,0.655,8.64,5.33,,9,9,,9,5,,10,5,,1688,1592,,1165,583,1562,0.373,141,480,0.294,285,398,0.716,293,951,334,233,83,431,466
99,Georgia,30,12,18,0.4,9.92,13.62,,3,13,,8,7,,1,9,,1895,2006,,1205,725,1853,0.391,215,665,0.323,341,502,0.679,384,1134,458,233,77,446,466
100,Georgia Southern,33,15,18,0.455,-6,-4.71,,4,14,,8,7,,5,10,,2385,2323,,1320,825,2155,0.383,202,642,0.315,471,702,0.671,487,1396,416,298,100,655,619
101,Georgia State,30,15,15,0.5,-4.27,-2.81,,9,9,,9,6,,6,8,,2094,2056,,1205,726,1838,0.395,204,626,0.326,400,586,0.683,418,1220,413,235,95,527,520
102,Georgia Tech,32,17,15,0.531,14.02,12.11,,7,11,,9,7,,6,6,,2187,2126,,1290,818,1965,0.416,184,595,0.309,306,451,0.678,337,1182,429,218,113,450,489
103,Gonzaga,31,29,2,0.935,28.08,5.82,,16,0,,14,0,,12,1,,2542,1852,,1249,703,1777,0.396,169,608,0.278,277,378,0.733,294,906,372,191,64,472,497
104,Grambling,28,20,8,0.714,-6.65,-7.41,,14,3,,12,2,,8,6,,2028,1755,,1135,610,1658,0.368,161,546,0.295,374,575,0.65,340,1057,369,250,79,650,568
105,Grand Canyon,30,24,6,0.8,7.46,-4.88,,16,3,,13,3,,11,3,,2079,1647,,1215,586,1560,0.376,164,562,0.292,311,454,0.685,269,945,313,206,69,551,471
106,Green Bay,31,25,6,0.806,14.75,-1.65,,17,3,,14,1,,9,4,,2321,1790,,1240,647,1693,0.382,214,694,0.308,282,381,0.74,282,946,397,183,53,471,513
107,Hampton,27,3,24,0.111,-19.32,-5.51,,3,14,,2,8,,1,14,,1464,1837,,1080,614,1529,0.402,176,565,0.312,433,592,0.731,350,1158,382,223,89,522,485
108,Harvard,27,16,11,0.593,7.21,1.46,,9,5,,6,3,,8,8,,1868,1713,,1080,624,1534,0.407,133,460,0.289,332,463,0.717,300,927,351,174,68,411,427
109,Hawaii,28,19,9,0.679,1.97,-0.57,,16,3,,13,3,,6,6,,1653,1582,,1126,579,1581,0.366,147,554,0.265,277,385,0.719,312,1008,294,220,75,385,473
110,High Point,30,20,10,0.667,-11.71,-9.17,,14,2,,12,4,,8,3,,1897,1905,,1215,674,1750,0.385,158,500,0.316,399,542,0.736,372,1196,337,193,91,486,531
111,Hofstra,28,9,19,0.321,-15.07,-9.25,,3,14,,6,10,,3,9,,1597,1665,,1125,600,1541,0.389,158,500,0.316,307,439,0.699,321,987,329,243,101,473,475
112,Holy Cross,29,17,12,0.586,-5.18,-10.01,,11,7,,12,2,,5,10,,1808,1632,,1165,592,1650,0.359,135,514,0.263,313,441,0.71,279,999,314,175,77,346,443
113,Houston,30,14,16,0.467,10.43,11.4,,5,13,,11,6,,3,9,,2030,2059,,1210,744,1700,0.438,157,504,0.312,414,547,0.757,364,1228,424,219,92,634,478
114,Houston Christian,29,6,23,0.207,-22.13,-4.21,,1,17,,5,8,,1,15,,1556,1886,,1160,699,1751,0.399,149,484,0.308,339,493,0.688,374,1155,381,244,86,408,370
115,Howard,28,13,15,0.464,-7.44,-8.37,,10,4,,8,4,,5,8,,1663,1637,,1130,543,1535,0.354,164,576,0.285,387,558,0.694,337,1090,312,210,100,520,504
116,Idaho,30,15,15,0.5,-3.33,-4.44,,8,10,,4,11,,10,4,,1792,1700,,1205,628,1649,0.381,141,473,0.298,303,404,0.75,265,1024,245,202,128,415,462
117,Idaho State,29,11,18,0.379,-3.59,-0.49,,7,11,,8,5,,2,12,,1729,1777,,1165,589,1552,0.38,200,646,0.31,399,565,0.706,293,1010,359,242,76,444,462
118,Illinois,29,14,15,0.483,19.19,13.26,,8,10,,10,5,,3,7,,2159,1987,,1165,739,1744,0.424,186,596,0.312,323,428,0.755,300,991,425,177,73,426,473
119,Illinois State,29,20,9,0.69,4.91,-0.77,,13,6,,13,1,,6,8,,2161,1964,,1170,720,1812,0.397,200,662,0.302,324,455,0.712,289,1009,411,206,80,377,615
120,Illinois-Chicago,30,17,13,0.567,0.6,-3.14,,10,9,,8,4,,8,8,,2079,1967,,1210,725,1786,0.406,177,535,0.331,340,451,0.754,323,1039,423,234,103,535,635
121,Incarnate Word,29,19,10,0.655,-6.88,-8.48,,12,6,,11,4,,8,6,,1817,1656,,1185,597,1576,0.379,142,483,0.294,320,458,0.699,298,988,315,187,87,455,508
122,Indiana,28,24,4,0.857,30.28,13.82,,15,3,,15,0,,7,4,,2249,1788,,1120,670,1663,0.403,148,476,0.311,300,416,0.721,254,874,314,153,76,395,494
123,Indiana State,29,10,19,0.345,-9.11,-2.07,,6,13,,3,9,,6,9,,1867,2066,,1165,711,1707,0.417,190,612,0.31,454,625,0.726,347,1067,381,254,86,457,494
124,Iona,28,11,17,0.393,-15.41,-10.12,,6,13,,5,8,,6,9,,1617,1765,,1125,683,1666,0.41,165,538,0.307,234,339,0.69,332,1019,402,236,77,389,402
125,Iowa,30,26,4,0.867,37.11,16.24,,15,3,,13,1,,8,3,,2780,2154,,1205,794,1970,0.403,227,744,0.305,339,459,0.739,312,1022,412,213,84,442,576
126,Iowa State,28,18,10,0.643,22.34,15.2,,11,6,,13,2,,5,6,,2108,1908,,1130,691,1789,0.386,233,740,0.315,293,395,0.742,248,901,409,251,76,303,489
127,IUPUI,30,7,23,0.233,-12.58,-1.95,,5,15,,5,9,,2,13,,1934,2253,,1209,827,1938,0.427,165,535,0.308,434,575,0.755,391,1158,435,261,115,441,596
128,Jackson State,28,22,6,0.786,5.05,-4.07,,17,0,,10,0,,10,5,,2010,1603,,1120,556,1609,0.346,121,461,0.262,370,518,0.714,341,950,295,223,76,485,563
129,Jacksonville,29,10,19,0.345,-10.48,-2.71,,6,10,,8,5,,2,14,,1877,2051,,1160,725,1716,0.422,171,595,0.287,430,630,0.683,375,1043,374,299,91,536,605
130,Jacksonville State,27,11,16,0.407,-9.14,-1.82,,6,9,,8,4,,3,12,,1584,1701,,1085,638,1537,0.415,133,432,0.308,292,420,0.695,258,1011,325,208,75,415,415
131,James Madison,31,21,10,0.677,4.72,1.22,,13,5,,12,3,,8,6,,2226,2048,,1244,738,2012,0.367,200,697,0.287,372,510,0.729,338,1114,376,233,94,382,529
132,Kansas,29,18,11,0.621,20.5,16.05,,11,7,,13,1,,4,8,,1976,1847,,1160,671,1706,0.393,176,551,0.319,329,442,0.744,339,1058,377,161,105,432,524
133,Kansas City,31,12,19,0.387,-10.31,-4.28,,3,13,,9,7,,2,10,,2009,2050,,1240,684,1716,0.399,161,515,0.313,521,727,0.717,341,1095,371,252,61,507,560
134,Kansas State,30,24,6,0.8,29.25,13.55,,12,5,,15,1,,6,4,,2180,1709,,1215,622,1749,0.356,140,536,0.261,325,455,0.714,294,1051,332,220,74,495,476
135,Kennesaw State,29,11,18,0.379,-10.22,-2.03,,7,9,,7,7,,3,10,,1706,1853,,1170,665,1600,0.416,169,537,0.315,354,514,0.689,299,970,378,227,86,486,472
136,Kent State,27,18,9,0.667,3.92,-1.92,,12,4,,9,3,,8,5,,1962,1674,,1090,596,1546,0.386,163,551,0.296,319,433,0.737,258,928,284,189,70,434,459
137,Kentucky,32,12,20,0.375,4.8,14.8,,4,12,,10,7,,1,9,,2060,2380,,1285,907,1961,0.463,179,580,0.309,385,512,0.752,367,1230,549,246,150,510,592
138,La Salle,30,8,22,0.267,-12.71,0.46,,5,13,,3,11,,5,10,,1729,2124,,1205,791,1853,0.427,181,618,0.293,361,493,0.732,427,1290,485,217,86,470,420
139,Lafayette,29,10,19,0.345,-16.66,-9.38,,5,13,,3,9,,7,10,,1631,1842,,1169,680,1652,0.412,179,553,0.324,303,419,0.723,312,1025,425,233,72,385,358
140,Lamar,28,23,5,0.821,0.8,-6.28,,17,1,,11,1,,11,3,,1876,1594,,1120,569,1457,0.391,126,440,0.286,330,454,0.727,256,888,301,194,66,481,496
141,Le Moyne,29,16,13,0.552,-13.36,-9.36,,14,2,,7,3,,9,10,,1646,1762,,1165,653,1641,0.398,197,634,0.311,259,389,0.666,391,1128,415,213,88,480,447
142,Lehigh,29,17,12,0.586,-8.98,-11.58,,9,9,,9,5,,7,6,,2014,1905,,1170,718,1791,0.401,144,445,0.324,325,433,0.751,301,1033,346,224,56,397,493
143,Liberty,30,15,15,0.5,1.94,4.83,,10,5,,10,5,,5,7,,1955,1994,,1210,694,1818,0.382,202,622,0.325,404,556,0.727,368,1045,378,248,56,354,441
144,Lindenwood,28,7,21,0.25,-16.88,-7.65,,5,13,,6,7,,1,14,,1815,2019,,1130,723,1529,0.473,147,414,0.355,426,587,0.726,323,1074,382,177,68,511,497
145,Lipscomb,29,17,12,0.586,-4.14,-4.51,,10,6,,8,5,,9,7,,1969,1884,,1175,691,1820,0.38,191,644,0.297,311,433,0.718,337,1133,340,192,104,418,473
146,Little Rock,29,12,17,0.414,-7.26,-2.26,,11,7,,6,8,,5,9,,1621,1766,,1170,611,1462,0.418,157,485,0.324,387,559,0.692,284,1028,302,164,76,501,459
147,Long Beach State,29,13,16,0.448,-3.94,-1.44,,8,11,,8,8,,5,8,,1954,2004,,1168,719,1842,0.39,174,630,0.276,392,545,0.719,417,1143,369,315,99,560,545
