Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,28,13,15,0.464,-3.41,-4.49,,9,10,,11,4,,2,10,,1976,1880,,1135,689,1619,0.426,191,617,0.31,311,427,0.728,277,940,362,244,101,447,512
2,Air Force,31,15,16,0.484,-2.13,1.08,,8,10,,10,6,,5,8,,1981,2059,,1245,734,1653,0.444,135,424,0.318,456,605,0.754,340,1196,320,243,111,599,454
3,Akron,28,10,18,0.357,-8.98,-4.77,,5,12,,5,8,,4,9,,1742,1860,,1150,691,1633,0.423,167,539,0.31,311,448,0.694,312,1023,391,219,90,415,467
4,Alabama,31,23,8,0.742,22.51,9.71,,10,6,,15,3,,6,4,,2290,1893,,1240,705,1824,0.387,145,504,0.288,338,490,0.69,384,1104,373,232,125,536,572
5,Alabama A&M,29,15,14,0.517,-11.48,-10.88,,10,7,,10,3,,4,10,,1790,1777,,1170,635,1622,0.391,126,413,0.305,381,537,0.709,329,1042,318,252,99,506,524
6,Alabama State,28,3,25,0.107,-27.62,-2.91,,3,14,,1,8,,2,17,,1384,2076,,1120,728,1699,0.428,136,440,0.309,482,688,0.701,407,1165,421,348,114,418,453
7,Albany (NY),29,24,5,0.828,-2.52,-10.38,,13,3,,13,1,,11,4,,1796,1485,,1160,558,1507,0.37,129,479,0.269,240,335,0.716,278,820,279,221,99,436,479
8,Alcorn State,28,9,19,0.321,-17.29,-5.84,,7,10,,6,5,,3,14,,1508,1784,,1120,593,1565,0.379,151,517,0.292,447,667,0.67,329,1003,336,283,73,412,472
9,American,29,10,19,0.345,-14.35,-9.14,,8,10,,5,10,,5,9,,1752,1903,,1170,689,1630,0.423,155,510,0.304,370,519,0.713,312,1066,358,246,91,494,486
10,Appalachian State,31,17,14,0.548,-1.56,-1.63,,9,9,,10,3,,4,11,,2236,2234,,1245,818,1966,0.416,171,528,0.324,427,600,0.712,410,1273,375,250,104,553,611
11,Arizona,32,17,15,0.531,22.22,18.04,,8,10,,10,5,,4,7,,2238,2104,,1320,759,1788,0.424,199,624,0.319,387,562,0.689,371,1143,435,223,110,629,525
12,Arizona State,31,11,20,0.355,8.93,17.58,,3,15,,7,9,,1,9,,1905,2173,,1250,796,1858,0.428,195,604,0.323,386,549,0.703,430,1300,492,165,151,464,489
13,Arkansas,32,18,14,0.563,14,12.78,,6,10,,11,6,,4,6,,2230,2191,,1280,830,2083,0.398,199,625,0.318,332,461,0.72,394,1395,442,204,103,472,580
14,Arkansas State,30,13,17,0.433,-2.05,-1.84,,6,12,,10,7,,3,9,,1990,1916,,1210,715,1764,0.405,191,633,0.302,295,404,0.73,338,1082,400,160,71,451,494
15,Arkansas-Pine Bluff,30,16,14,0.533,-3.58,-5.65,,11,6,,8,4,,8,7,,2227,2034,,1207,698,1839,0.38,157,534,0.294,481,702,0.685,380,1175,422,244,90,577,585
16,Army,28,12,16,0.429,-15.62,-9.97,,9,9,,7,9,,5,7,,1655,1742,,1120,654,1482,0.441,130,420,0.31,304,424,0.717,237,933,381,210,133,453,393
17,Auburn,30,20,10,0.667,21.22,11.82,,8,8,,14,3,,5,7,,2017,1735,,1200,607,1621,0.374,116,425,0.273,405,561,0.722,325,1099,267,217,99,622,559
18,Austin Peay,30,15,15,0.5,-4.05,-5.86,,8,8,,8,8,,5,7,,1881,1807,,1215,639,1643,0.389,157,477,0.329,372,527,0.706,298,968,318,239,81,465,520
19,Ball State,30,26,4,0.867,10.05,-2.05,,15,2,,13,1,,11,3,,2215,1827,,1210,682,1648,0.414,169,533,0.317,294,434,0.677,289,1042,382,197,70,590,520
20,Baylor,29,23,6,0.793,29.23,13.12,,12,6,,14,2,,6,4,,2186,1719,,1160,652,1673,0.39,127,498,0.255,288,421,0.684,264,939,330,224,90,535,510
21,Bellarmine,28,10,18,0.357,-14.66,-3.66,,5,11,,6,7,,4,11,,1886,2096,,1125,730,1694,0.431,189,620,0.305,447,610,0.733,336,1117,342,210,86,476,523
22,Belmont,30,23,7,0.767,12.07,2.53,,16,3,,13,2,,9,4,,2137,1851,,1200,699,1788,0.391,166,578,0.287,287,402,0.714,331,1071,371,195,60,441,530
23,Bethune-Cookman,30,15,15,0.5,-9.75,-9.34,,6,11,,9,5,,4,9,,1993,1817,,1215,643,1731,0.371,132,512,0.258,399,571,0.699,382,1154,371,245,102,618,572
24,Binghamton,29,13,16,0.448,-8.57,-9.5,,8,8,,8,7,,5,7,,1806,1754,,1160,652,1605,0.406,120,396,0.303,330,516,0.64,346,1048,262,176,73,434,411
25,Boise State,31,19,12,0.613,2.24,-1.21,,10,8,,13,3,,5,8,,1959,1796,,1245,672,1842,0.365,176,612,0.288,276,389,0.71,318,1093,345,229,116,441,534
26,Boston College,33,14,19,0.424,12.61,11.3,,5,13,,11,6,,2,10,,2342,2299,,1326,855,1900,0.45,170,560,0.304,419,564,0.743,402,1234,454,252,107,683,593
27,Boston University,29,18,11,0.621,-9.47,-9.19,,10,8,,14,2,,4,9,,1833,1808,,1180,676,1758,0.385,180,561,0.321,276,379,0.728,363,998,395,225,80,396,523
