Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,30,17,13,0.567,-5.04,-5.97,,9,9,,12,6,,5,7,,2216,1820,,1201,687,1517,0.453,181,529,0.342,265,377,0.703,251,806,397,198,84,397,494
2,Air Force,33,19,14,0.576,2.69,0.31,,11,7,,11,4,,8,10,,2033,1777,,1329,646,1503,0.43,117,394,0.297,368,513,0.717,227,985,281,173,106,565,458
3,Akron,29,17,12,0.586,0.5,1.75,,13,7,,9,4,,8,8,,1947,1885,,1157,688,1682,0.409,165,518,0.319,344,474,0.726,278,915,355,240,80,386,451
4,Alabama,34,20,14,0.588,14.87,9.6,,6,10,,13,6,,7,8,,2431,2252,,1374,858,2069,0.415,175,572,0.306,361,551,0.655,367,1135,472,239,174,534,571
5,Alabama A&M,29,15,14,0.517,-13.64,-10.53,,13,5,,7,4,,8,10,,1730,1820,,1169,660,1701,0.388,133,420,0.317,367,569,0.645,295,963,328,223,90,406,526
6,Alabama State,30,15,15,0.5,-14.43,-7.63,,11,6,,11,2,,4,13,,1910,2030,,1205,694,1782,0.389,164,560,0.293,478,683,0.7,347,1009,368,289,136,468,536
7,Albany (NY) NCAA,33,23,10,0.697,-4.16,-10.28,,13,5,,16,1,,7,9,,1885,1601,,1322,613,1640,0.374,140,481,0.291,235,351,0.67,259,803,324,275,100,464,458
8,Alcorn State,25,3,22,0.12,-30.1,-8.64,,2,14,,1,10,,2,12,,1298,1736,,1006,599,1391,0.431,129,409,0.315,409,604,0.677,326,953,331,235,77,368,361
9,American NCAA,32,23,9,0.719,-2.83,-5.61,,13,5,,16,1,,7,8,,1900,1811,,1289,696,1745,0.399,129,528,0.244,290,416,0.697,306,1022,357,238,88,537,532
10,Appalachian State,26,14,12,0.538,-6.5,-4.63,,8,4,,9,5,,5,7,,1785,1674,,1060,636,1552,0.41,122,362,0.337,280,404,0.693,293,914,330,215,67,449,412
11,Arizona NCAA,29,21,8,0.724,23.04,13.21,,10,6,,16,3,,5,5,,1949,1664,,1170,574,1471,0.39,146,432,0.338,370,487,0.76,214,854,323,159,83,509,434
12,Arizona State,26,12,14,0.462,16.21,12.82,,4,8,,11,5,,1,9,,1645,1497,,1048,540,1314,0.411,127,399,0.318,290,409,0.709,191,725,298,185,76,383,411
13,Arkansas NCAA,32,18,14,0.563,20.22,13.16,,7,9,,14,5,,4,9,,2355,2129,,1288,778,1965,0.396,181,563,0.321,392,562,0.698,333,1208,377,159,133,482,600
14,Arkansas State,28,12,16,0.429,-5.99,-6.03,,5,9,,8,7,,4,9,,2173,1824,,1120,664,1475,0.45,152,465,0.327,344,504,0.683,262,871,378,186,72,370,441
15,Arkansas-Pine Bluff,29,13,16,0.448,-11.99,-10.24,,9,9,,6,5,,7,11,,1988,1876,,1159,684,1720,0.398,160,502,0.319,348,507,0.686,329,995,388,213,89,429,525
16,Army,29,16,13,0.552,-9.02,-7.24,,10,8,,10,4,,6,9,,1841,1813,,1174,715,1688,0.424,151,479,0.315,232,330,0.703,246,878,382,237,102,392,444
17,Auburn,28,10,18,0.357,8.11,10.29,,2,14,,8,7,,2,11,,1784,1845,,1125,661,1604,0.412,134,422,0.318,389,542,0.718,280,964,317,187,123,463,516
18,Austin Peay,33,20,13,0.606,-1.8,-5.89,,11,7,,13,4,,7,9,,2182,1903,,1329,665,1599,0.416,168,540,0.311,405,554,0.731,224,827,356,227,82,464,535
19,Ball State,33,20,13,0.606,4.55,1.25,,11,8,,10,7,,10,6,,2356,2247,,1329,814,1954,0.417,216,678,0.319,403,553,0.729,287,1097,422,233,70,486,483
20,Baylor NCAA,35,28,7,0.8,28.19,11.87,,15,3,,18,3,,10,4,,2677,2106,,1405,750,2080,0.361,200,656,0.305,406,550,0.738,296,1071,401,222,91,514,671
21,Bellarmine,28,4,24,0.143,-20.51,-3.78,,1,15,,4,9,,0,15,,1702,1950,,1120,712,1594,0.447,168,542,0.31,358,485,0.738,291,979,396,237,101,396,446
22,Belmont NCAA,31,23,8,0.742,13.06,-0.01,,16,2,,12,2,,11,6,,2155,1750,,1249,648,1719,0.377,134,447,0.3,320,453,0.706,303,991,333,174,79,488,509
23,Bethune-Cookman,27,6,21,0.222,-22.56,-9.28,,4,13,,3,8,,3,13,,1619,1808,,1084,664,1566,0.424,140,459,0.305,340,500,0.68,305,931,397,246,109,433,445
24,Binghamton,29,9,20,0.31,-13.19,-10.27,,5,13,,7,9,,2,11,,1668,1581,,1166,611,1551,0.394,99,417,0.237,260,410,0.634,279,933,287,238,75,400,394
25,Boise State,29,8,21,0.276,-6.02,0.5,,4,13,,7,8,,1,13,,1800,1803,,1164,641,1609,0.398,159,503,0.316,362,482,0.751,229,839,310,221,81,310,432
26,Boston College,33,21,12,0.636,15.89,9.35,,10,8,,15,4,,6,8,,2378,2162,,1324,807,1972,0.409,169,575,0.294,379,531,0.714,312,966,400,299,105,572,590
27,Boston University,31,17,14,0.548,-1.78,-4.62,,12,6,,11,4,,6,10,,1937,1849,,1240,718,1847,0.389,166,555,0.299,247,360,0.686,266,922,345,215,72,380,479
28,Bowling Green State,33,17,16,0.515,3.55,1.14,,10,10,,12,7,,5,9,,2403,2226,,1326,821,1868,0.44,209,627,0.333,375,519,0.723,252,1019,439,248,120,499,531
29,Bradley,28,4,24,0.143,-8.18,3.9,,1,17,,4,9,,0,15,,1648,1808,,1126,651,1600,0.407,183,577,0.317,323,448,0.721,297,952,375,189,77,289,391
30,Brigham Young NCAA,30,26,4,0.867,24.81,6.01,,15,1,,16,2,,10,2,,2314,1639,,1203,574,1596,0.36,182,592,0.307,309,440,0.702,268,854,345,168,67,481,427
31,Brown,26,6,20,0.231,-18.67,-5.23,,1,13,,2,10,,4,10,,1473,1719,,1041,653,1616,0.404,161,485,0.332,252,364,0.692,344,1000,425,219,78,372,338
32,Bryant,32,10,22,0.313,-20.6,-11.05,,6,12,,6,9,,4,13,,1807,1986,,1280,757,1791,0.423,194,574,0.338,278,419,0.663,276,938,419,317,102,451,504
33,Bucknell,34,24,10,0.706,2.52,-5.16,,12,6,,13,3,,11,7,,2129,1868,,1371,710,1924,0.369,163,529,0.308,285,404,0.705,269,1106,341,184,123,500,565
34,Buffalo NCAA,34,25,9,0.735,12.12,2.94,,16,4,,17,1,,8,8,,2577,2265,,1370,845,2194,0.385,218,759,0.287,357,514,0.695,397,1183,490,246,64,562,592
35,Butler,28,1,27,0.036,-16.65,5.68,,0,18,,1,16,,0,11,,1556,2181,,1139,837,1836,0.456,257,727,0.354,250,351,0.712,313,951,552,260,100,314,384
36,Cal Poly,25,3,22,0.12,-13.83,-0.67,,2,13,,2,13,,1,9,,1431,1760,,1015,615,1498,0.411,188,601,0.313,342,471,0.726,219,858,365,191,105,352,389
37,Cal State Bakersfield,25,5,20,0.2,-9.42,-1.05,,3,11,,4,9,,1,11,,1530,1620,,1008,572,1333,0.429,163,471,0.346,313,433,0.723,220,788,329,158,47,312,400
38,Cal State Fullerton,29,11,18,0.379,-5.94,-1.6,,5,12,,9,6,,2,12,,1749,1875,,1164,658,1656,0.397,177,584,0.303,382,533,0.717,291,927,381,248,72,411,504
39,Cal State Northridge,28,9,19,0.321,-7.94,1.44,,5,12,,5,8,,4,11,,1603,1602,,1140,546,1348,0.405,153,510,0.3,357,480,0.744,242,851,335,196,77,408,385
40,California,24,11,13,0.458,9.98,9.8,,1,10,,8,6,,3,7,,1643,1481,,971,526,1298,0.405,138,389,0.355,291,387,0.752,212,681,303,149,74,335,418
41,California Baptist,32,23,9,0.719,1.61,-4.77,,13,5,,11,4,,12,5,,2419,2139,,1295,773,2053,0.377,200,627,0.319,393,552,0.712,341,1207,434,245,82,490,488
42,Campbell,31,23,8,0.742,-8.38,-13.27,,15,3,,14,4,,9,4,,1982,1544,,1250,574,1438,0.399,114,410,0.278,282,430,0.656,231,829,305,223,75,461,452
43,Canisius,31,6,25,0.194,-18.25,-7.51,,3,17,,5,9,,1,16,,1793,2126,,1250,821,1890,0.434,150,526,0.285,334,490,0.682,363,1093,425,239,105,425,462
44,Central Arkansas,28,9,19,0.321,-16.85,-4.37,,4,12,,7,7,,2,12,,1509,1606,,1129,574,1399,0.41,164,473,0.347,294,424,0.693,220,747,326,219,110,322,384
45,Central Connecticut State,26,6,20,0.231,-21.17,-11.79,,4,12,,3,8,,3,12,,1516,1760,,1040,656,1554,0.422,144,443,0.325,304,457,0.665,299,935,370,206,70,362,420
46,Central Michigan,29,4,25,0.138,-10.17,2.25,,2,18,,2,12,,2,13,,1716,2076,,1160,763,1772,0.431,192,560,0.343,358,504,0.71,274,1007,399,231,81,341,392
47,Charleston Southern,29,2,27,0.069,-32.22,-9.65,,2,15,,1,14,,1,13,,1435,2019,,1160,735,1756,0.419,176,604,0.291,373,511,0.73,315,1022,468,309,70,369,374
48,Charlotte NCAA,32,22,10,0.688,6.7,2.45,,15,3,,13,4,,9,6,,2023,1887,,1309,686,1906,0.36,140,572,0.245,375,519,0.723,341,1088,340,242,85,440,549
49,Chattanooga,30,7,23,0.233,-14.56,-6.06,,5,9,,3,11,,4,12,,1808,2063,,1221,756,1833,0.412,213,644,0.331,338,483,0.7,319,1064,392,245,124,403,509
50,Chicago State,27,4,23,0.148,-16.16,-3.94,,3,15,,2,11,,2,12,,1526,1856,,1090,638,1489,0.428,140,453,0.309,440,641,0.686,249,895,343,247,81,438,478
51,Cincinnati,28,11,17,0.393,-2.26,4.17,,4,11,,9,7,,2,10,,1674,1854,,1130,652,1695,0.385,151,495,0.305,399,574,0.695,338,991,404,257,132,433,446
52,Clemson,31,10,21,0.323,6.53,12.82,,3,15,,7,11,,3,10,,1997,2192,,1250,812,1843,0.441,217,647,0.335,351,514,0.683,309,1000,463,244,96,511,553
53,Cleveland State,30,21,9,0.7,1.55,-5.49,,12,6,,12,4,,9,5,,2099,1705,,1204,640,1696,0.377,183,595,0.308,242,344,0.703,266,884,394,211,106,450,552
54,Coastal Carolina,26,15,11,0.577,-6.43,-8.78,,4,9,,11,4,,4,7,,1881,1520,,1040,536,1426,0.376,146,518,0.282,302,467,0.647,254,718,311,222,67,365,475
55,Colgate,30,6,24,0.2,-16.83,-7.63,,4,14,,3,11,,3,13,,1617,1893,,1200,726,1715,0.423,162,488,0.332,279,417,0.669,303,981,414,251,86,413,449
56,College of Charleston,31,18,13,0.581,-2.62,-7.24,,9,9,,9,7,,9,6,,2322,1973,,1250,741,1824,0.406,147,535,0.275,344,445,0.773,360,1155,420,204,95,528,468
57,Colorado NCAA,31,22,9,0.71,20.5,12.57,,9,7,,14,4,,8,5,,2035,1789,,1263,645,1675,0.385,182,604,0.301,317,438,0.724,249,931,332,219,145,532,490
58,Colorado State,33,21,12,0.636,4.2,-0.44,,9,9,,13,5,,8,7,,2277,1992,,1323,755,1986,0.38,216,685,0.315,266,365,0.729,274,1138,405,157,90,315,448
59,Columbia,32,25,7,0.781,4.7,-1.96,,12,2,,13,5,,12,2,,2196,1983,,1289,731,1995,0.366,176,615,0.286,345,501,0.689,305,1039,368,254,101,436,534
60,Connecticut NCAA,36,30,6,0.833,32.74,13.88,,16,1,,20,3,,10,3,,2656,1977,,1449,739,2074,0.356,199,706,0.282,300,419,0.716,281,989,380,212,89,544,532
61,Coppin State,28,15,13,0.536,-11.66,-11.2,,9,5,,8,4,,7,9,,1760,1773,,1120,660,1766,0.374,147,510,0.288,306,468,0.654,305,1092,335,182,102,424,505
62,Cornell,25,9,16,0.36,-14.43,-4.81,,4,10,,5,7,,4,9,,1333,1482,,1005,520,1343,0.387,192,569,0.337,250,351,0.712,243,767,338,230,80,390,467
63,Creighton NCAA,33,23,10,0.697,20.18,10.48,,15,5,,12,4,,11,6,,2444,2124,,1329,800,1912,0.418,184,554,0.332,340,454,0.749,260,986,438,197,110,428,479
64,Dartmouth,26,3,23,0.115,-21.31,-3.27,,2,12,,1,10,,2,13,,1222,1691,,1045,632,1568,0.403,200,631,0.317,227,356,0.638,314,945,394,221,74,349,342
65,Davidson,33,18,15,0.545,2.57,0.69,,6,10,,8,7,,10,8,,2097,2035,,1323,728,1795,0.406,189,601,0.314,390,566,0.689,298,1001,343,228,80,481,524
66,Dayton NCAA,32,26,6,0.813,14.24,3.68,,14,1,,15,3,,11,3,,2107,1769,,1285,650,1860,0.349,159,568,0.28,310,470,0.66,255,998,340,168,132,414,528
