Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
67,Delaware NCAA,32,24,8,0.75,4.23,-2.86,,15,3,,12,2,,12,6,,2303,1996,,1287,747,1888,0.396,154,515,0.299,348,483,0.72,288,1017,359,201,81,460,559
68,Delaware State,24,0,24,0,-39.99,-10.7,,0,14,,0,10,,0,14,,1122,1825,,966,715,1691,0.423,180,576,0.313,215,329,0.653,396,965,446,270,95,247,379
69,Denver,30,10,20,0.333,-9.35,0.33,,5,13,,6,9,,4,11,,1935,2047,,1231,760,1748,0.435,153,500,0.306,374,489,0.765,286,988,382,219,81,338,462
70,DePaul NCAA,33,22,11,0.667,15.67,6.91,,14,6,,13,6,,9,5,,2882,2593,,1335,1037,2233,0.464,179,607,0.295,340,480,0.708,344,1168,565,242,136,584,521
71,Detroit Mercy,28,1,27,0.036,-17.89,-4.54,,1,19,,0,14,,1,13,,1560,1934,,1123,685,1633,0.419,209,624,0.335,355,492,0.722,284,937,400,275,98,446,431
72,Drake,34,20,14,0.588,9.47,5.29,,9,9,,13,6,,7,8,,2497,2258,,1369,829,2119,0.391,271,779,0.348,329,464,0.709,319,1022,444,316,151,456,547
73,Drexel,34,28,6,0.824,4.71,-4.29,,16,2,,17,4,,11,2,,2219,1913,,1374,706,1893,0.373,177,642,0.276,324,439,0.738,336,1068,393,201,76,484,516
74,Duke,30,17,13,0.567,15.29,12.42,,7,11,,10,7,,7,6,,1951,1865,,1199,722,1828,0.395,151,458,0.33,270,391,0.691,288,974,333,224,96,414,459
75,Duquesne,29,11,18,0.379,0.18,0.9,,6,10,,8,7,,3,11,,1851,1872,,1165,684,1673,0.409,181,575,0.315,323,449,0.719,270,961,373,184,92,419,459
76,East Carolina,29,11,18,0.379,0.93,0.17,,4,11,,9,5,,2,13,,1746,1724,,1166,601,1578,0.381,165,543,0.304,357,509,0.701,284,962,424,233,111,611,477
77,East Tennessee State,28,6,22,0.214,-19.22,-6.54,,5,9,,4,8,,2,14,,1550,1905,,1120,677,1633,0.415,178,555,0.321,373,531,0.702,291,1059,369,201,97,384,367
78,Eastern Illinois,30,16,14,0.533,-2.98,-2.91,,11,7,,8,7,,8,7,,2038,1875,,1219,664,1568,0.423,193,648,0.298,354,499,0.709,263,899,400,244,85,479,433
79,Eastern Kentucky,31,15,16,0.484,-9.83,-6.38,,7,9,,10,5,,5,11,,2077,1841,,1263,661,1601,0.413,208,667,0.312,311,440,0.707,271,889,404,258,78,471,546
80,Eastern Michigan,27,7,20,0.259,-7.28,1.18,,4,16,,5,8,,2,12,,1804,1891,,1080,682,1559,0.437,200,513,0.39,327,429,0.762,214,908,325,186,71,381,398
81,Eastern Washington,30,9,21,0.3,-10.28,-2.81,,7,13,,6,10,,3,11,,1830,1836,,1200,637,1631,0.391,184,560,0.329,378,498,0.759,265,1068,360,230,84,435,413
82,Elon,29,17,12,0.586,-2.74,-2.81,,9,9,,10,5,,7,7,,1808,1806,,1166,665,1676,0.397,148,472,0.314,328,467,0.702,337,947,335,237,114,473,498
83,Evansville,30,8,22,0.267,-11.3,-0.06,,2,16,,6,8,,2,14,,1982,2208,,1220,800,1821,0.439,178,567,0.314,430,577,0.745,329,1127,453,242,99,449,528
84,Fairfield NCAA,32,25,7,0.781,2.17,-5.52,,19,1,,15,1,,10,6,,2069,1823,,1289,681,1781,0.382,215,719,0.299,246,358,0.687,277,1002,390,179,62,484,496
85,FDU,31,19,12,0.613,-9.07,-13.16,,14,3,,12,4,,7,8,,1892,1765,,1267,671,1780,0.377,131,481,0.272,292,413,0.707,264,969,348,209,82,416,530
86,Florida NCAA,32,21,11,0.656,15.06,11.81,,10,6,,14,4,,7,7,,2176,2072,,1287,758,1908,0.397,123,425,0.289,433,637,0.68,297,1062,347,265,116,519,524
87,Florida A&M,28,3,25,0.107,-29.27,-9.35,,3,14,,1,9,,2,16,,1512,1995,,1125,728,1651,0.441,162,511,0.317,377,574,0.657,326,953,414,272,92,359,478
88,Florida Atlantic,30,5,25,0.167,-10.36,-0.25,,1,17,,4,12,,1,13,,1759,1883,,1215,713,1704,0.418,166,535,0.31,291,410,0.71,297,928,372,215,89,319,451
89,Florida Gulf Coast NCAA,33,30,3,0.909,14.99,-0.68,,15,1,,18,2,,12,1,,2578,1824,,1329,699,1672,0.418,109,373,0.292,317,446,0.711,214,991,310,143,60,515,503
90,Florida International,31,15,16,0.484,-3.3,-2.98,,6,12,,12,6,,3,10,,1988,1754,,1249,621,1520,0.409,133,445,0.299,379,514,0.737,275,892,325,210,121,486,503
91,Florida State NCAA,31,17,14,0.548,15.28,11.63,,10,8,,11,4,,6,10,,2023,1910,,1252,697,1832,0.38,193,601,0.321,323,437,0.739,294,931,385,233,90,465,546
92,Fordham,29,18,11,0.621,9.58,5.48,,8,6,,13,3,,5,8,,1803,1684,,1165,636,1610,0.395,124,415,0.299,288,400,0.72,254,930,271,181,66,445,464
93,Fresno State,29,11,18,0.379,-1.16,1.18,,7,10,,7,8,,4,10,,2011,1837,,1166,674,1599,0.422,169,525,0.322,320,430,0.744,245,894,388,168,65,272,404
94,Furman,34,20,14,0.588,-9.44,-9.19,,10,4,,12,4,,8,10,,2183,2027,,1370,765,1860,0.411,220,677,0.325,277,402,0.689,284,978,429,220,117,459,576
95,Gardner-Webb,31,16,15,0.516,-10.12,-10.89,,13,5,,8,5,,8,10,,2180,2156,,1238,789,1795,0.44,155,482,0.322,423,617,0.686,286,1047,424,220,90,566,602
96,George Mason,29,10,19,0.345,-6.86,0.14,,3,12,,3,10,,7,9,,1701,1904,,1170,705,1721,0.41,185,592,0.313,309,443,0.698,275,1041,400,226,99,392,497
97,George Washington,31,13,18,0.419,-2.89,1.91,,4,11,,10,8,,3,10,,1600,1680,,1242,619,1562,0.396,164,521,0.315,278,437,0.636,241,935,321,235,98,411,443
98,Georgetown,29,10,19,0.345,-4.77,4.7,,4,15,,5,11,,5,8,,1743,1922,,1189,688,1661,0.414,241,691,0.349,305,429,0.711,291,954,475,268,74,436,449
99,Georgia NCAA,31,21,10,0.677,21.39,12.14,,9,7,,13,6,,8,4,,2119,1830,,1249,685,1812,0.378,138,452,0.305,322,478,0.674,271,952,326,258,103,512,483
100,Georgia Southern,28,18,10,0.643,-2.65,-7.41,,8,6,,13,3,,5,7,,2220,1769,,1131,627,1597,0.393,154,518,0.297,361,529,0.682,267,862,282,235,94,446,516
101,Georgia State,26,10,16,0.385,-11.73,-6.19,,4,9,,6,8,,4,8,,1682,1666,,1059,589,1434,0.411,122,426,0.286,366,511,0.716,261,912,326,198,73,420,435
102,Georgia Tech NCAA,32,21,11,0.656,19.75,11.47,,11,7,,13,4,,8,7,,1950,1685,,1295,642,1787,0.359,148,504,0.294,253,384,0.659,234,921,323,210,82,408,496
103,Gonzaga NCAA,34,27,7,0.794,20.97,8.09,,15,2,,14,3,,13,4,,2345,1798,,1360,670,1802,0.372,172,630,0.273,286,418,0.684,250,824,363,212,92,414,521
104,Grambling,31,14,17,0.452,-14.75,-10.95,,10,7,,9,2,,5,14,,1929,2043,,1200,737,1713,0.43,138,461,0.299,431,638,0.676,339,1050,403,252,105,532,517
105,Grand Canyon,32,22,10,0.688,-3.54,-5.47,,14,4,,14,4,,8,6,,2107,1856,,1284,626,1532,0.409,181,582,0.311,423,607,0.697,265,947,365,248,62,594,539
106,Green Bay,27,19,8,0.704,3.46,-2.65,,14,4,,9,4,,10,4,,1672,1507,,1088,524,1475,0.355,202,658,0.307,257,355,0.724,256,870,316,174,81,404,412
107,Hampton,29,13,16,0.448,-15.78,-11.4,,8,9,,9,5,,4,11,,1722,1849,,1165,654,1562,0.419,186,603,0.308,355,504,0.704,252,995,384,204,120,513,547
108,Hartford,30,4,26,0.133,-25.84,-8.34,,4,14,,1,13,,3,13,,1622,2147,,1210,800,1869,0.428,202,630,0.321,345,482,0.716,343,1046,463,310,90,435,426
109,Harvard,27,13,14,0.481,2.63,-0.93,,7,7,,7,4,,6,10,,1915,1819,,1090,661,1593,0.415,197,601,0.328,300,438,0.685,292,984,396,175,80,492,408
110,Hawaii NCAA,30,20,10,0.667,0.13,0.03,,13,3,,14,4,,6,6,,1918,1829,,1200,649,1671,0.388,183,602,0.304,348,477,0.73,274,933,332,206,69,398,503
111,High Point,31,17,14,0.548,-9.34,-10.3,,13,5,,10,6,,7,8,,1957,1744,,1245,631,1602,0.394,146,485,0.301,336,504,0.667,240,1081,334,146,101,472,449
112,Hofstra,28,8,20,0.286,-14.16,-3.05,,4,14,,6,7,,2,13,,1434,1682,,1126,609,1529,0.398,162,520,0.312,302,420,0.719,296,911,368,233,98,408,396
113,Holy Cross,31,20,11,0.645,-3.5,-6.04,,14,4,,12,5,,8,6,,1872,1717,,1246,655,1742,0.376,166,592,0.28,241,373,0.646,292,946,333,233,88,442,440
114,Houston,34,18,16,0.529,9.59,7.53,,7,9,,12,5,,6,11,,2149,2079,,1365,723,1824,0.396,155,507,0.306,478,641,0.746,267,1069,436,286,103,586,521
115,Houston Christian,27,16,11,0.593,-12.63,-11.96,,12,2,,10,3,,6,8,,1558,1236,,1083,472,1247,0.379,67,294,0.228,225,343,0.656,237,785,231,172,72,355,334
116,Howard NCAA,31,21,10,0.677,-11.64,-13.01,,11,3,,13,2,,8,8,,1977,1836,,1249,626,1776,0.352,160,604,0.265,424,594,0.714,335,1069,339,240,89,504,546
117,Idaho,32,14,18,0.438,-3.72,-0.43,,11,9,,9,6,,5,12,,2191,2132,,1285,794,1883,0.422,200,607,0.329,344,474,0.726,255,1125,381,195,84,397,456
118,Idaho State,31,19,12,0.613,0.25,-0.65,,15,5,,12,2,,7,10,,2070,1866,,1256,642,1559,0.412,174,546,0.319,408,537,0.76,235,894,328,207,50,460,437
119,Illinois,27,7,20,0.259,-2.52,7.55,,1,13,,6,10,,1,10,,1738,2010,,1079,750,1712,0.438,227,646,0.351,283,398,0.711,269,915,445,237,70,379,413
120,Illinois State NCAA,33,19,14,0.576,2.3,2.62,,12,6,,9,6,,10,8,,2145,2064,,1322,746,1824,0.409,224,675,0.332,348,464,0.75,253,938,423,202,104,390,566
121,Illinois-Chicago,27,2,25,0.074,-17.72,-3.16,,1,20,,1,12,,1,13,,1431,1824,,1085,654,1525,0.429,174,532,0.327,342,475,0.72,289,938,424,238,97,457,480
122,Incarnate Word NCAA,30,13,17,0.433,-16.81,-13.28,,5,9,,8,6,,4,11,,1732,1490,,1214,532,1353,0.393,112,403,0.278,314,439,0.715,248,807,314,204,81,391,407
123,Indiana NCAA,33,24,9,0.727,24.22,14.68,,11,5,,15,3,,9,6,,2353,2038,,1329,789,1968,0.401,152,518,0.293,308,437,0.705,275,1043,362,206,105,472,616
124,Indiana State,31,11,20,0.355,-3.08,0.42,,5,13,,5,10,,6,10,,1984,2001,,1239,673,1525,0.441,170,540,0.315,485,675,0.719,253,861,375,245,102,505,471
125,Iona,27,11,16,0.407,-10.72,-8.2,,8,12,,7,7,,4,9,,1521,1589,,1084,578,1449,0.399,158,457,0.346,275,394,0.698,252,859,338,243,75,468,409
126,Iowa NCAA,32,24,8,0.75,26.07,12.07,,14,4,,15,5,,9,3,,2695,2247,,1284,828,2126,0.389,226,756,0.299,365,516,0.707,344,1018,414,243,102,438,577
127,Iowa State NCAA,35,28,7,0.8,26.26,13.63,,14,4,,19,4,,9,3,,2673,2231,,1404,859,2199,0.391,221,707,0.313,292,404,0.723,294,1091,465,224,181,417,624
128,IUPUI NCAA,29,24,5,0.828,10.96,-3.08,,18,2,,14,2,,10,3,,2044,1637,,1168,646,1686,0.383,139,551,0.252,206,315,0.654,211,773,309,215,66,377,439
129,Jackson State NCAA,30,23,7,0.767,5.91,-11.03,,18,0,,14,0,,9,7,,2386,1878,,1199,668,1907,0.35,165,612,0.27,377,545,0.692,300,919,356,228,107,457,619
130,Jacksonville,29,16,13,0.552,-7.45,-4.05,,8,8,,11,4,,5,9,,1737,1505,,1159,519,1338,0.388,152,495,0.307,315,433,0.727,215,799,284,165,82,416,417
131,Jacksonville State,32,24,8,0.75,-1.79,-6.89,,13,3,,16,1,,8,7,,2119,1786,,1281,668,1611,0.415,131,458,0.286,319,481,0.663,204,954,314,163,94,480,520
132,James Madison,29,14,15,0.483,-2,-0.97,,10,8,,8,7,,6,8,,1843,1873,,1169,691,1750,0.395,161,525,0.307,330,451,0.732,273,943,397,209,81,375,548
133,Kansas NCAA,31,21,10,0.677,19.9,13.32,,11,7,,13,5,,8,5,,2226,2022,,1244,733,2003,0.366,221,717,0.308,335,473,0.708,318,1037,436,258,107,482,540
134,Kansas City,32,23,9,0.719,2.45,-0.36,,12,6,,16,2,,7,7,,2291,2019,,1290,746,1715,0.435,183,535,0.342,344,496,0.694,219,878,392,207,92,385,535
135,Kansas State NCAA,33,20,13,0.606,19.55,14.1,,9,9,,14,3,,6,10,,2181,2001,,1329,728,1920,0.379,180,576,0.313,365,523,0.698,260,1072,396,245,117,489,554
136,Kennesaw State,28,9,19,0.321,-10.41,-2.89,,5,11,,7,8,,2,11,,1688,1791,,1125,645,1542,0.418,188,554,0.339,313,453,0.691,270,888,388,187,127,416,457
137,Kent State,31,19,12,0.613,4.36,1.12,,10,10,,11,4,,8,8,,2118,1834,,1239,675,1682,0.401,180,561,0.321,304,440,0.691,231,846,331,206,101,355,506
138,Kentucky NCAA,31,19,12,0.613,20.09,13.58,,8,8,,12,6,,7,6,,2237,2035,,1246,775,1889,0.41,163,478,0.341,322,456,0.706,324,1040,442,186,106,491,490
139,La Salle,28,16,12,0.571,0.7,-1.13,,9,6,,10,6,,6,6,,1830,1779,,1124,660,1593,0.414,149,481,0.31,310,457,0.678,302,980,390,211,89,470,479
140,Lafayette,30,12,18,0.4,-10.38,-6.35,,7,11,,7,8,,5,10,,1636,1757,,1204,650,1734,0.375,192,615,0.312,265,403,0.658,308,974,402,223,84,381,414
141,Lamar,29,14,15,0.483,-6.46,-4.72,,8,10,,10,6,,4,9,,1816,1623,,1178,603,1431,0.421,140,456,0.307,277,392,0.707,212,781,346,201,75,385,506
142,Lehigh,30,19,11,0.633,0.16,-7.4,,11,7,,13,3,,6,8,,2070,1769,,1200,688,1828,0.376,147,515,0.285,246,345,0.713,258,1001,321,192,90,381,389
143,Liberty,33,28,5,0.848,6.09,-4.02,,14,2,,16,2,,12,3,,2162,1619,,1330,562,1606,0.35,160,576,0.278,335,487,0.688,218,756,267,224,92,382,509
144,Lipscomb,30,10,20,0.333,-12.91,-1.76,,5,11,,7,8,,3,12,,1787,1769,,1205,614,1507,0.407,213,598,0.356,328,447,0.734,233,896,341,198,90,328,423
145,Little Rock,27,17,10,0.63,-0.98,-2.26,,8,4,,9,4,,8,6,,1644,1468,,1094,514,1313,0.391,115,364,0.316,325,459,0.708,212,787,244,152,61,413,421
146,Long Beach State,28,19,9,0.679,3.01,-1.14,,12,6,,8,5,,11,4,,1734,1542,,1134,538,1338,0.402,170,524,0.324,296,428,0.692,225,872,341,201,67,544,431
147,Long Island University,27,9,18,0.333,-17.08,-9.78,,9,7,,4,6,,5,12,,1500,1697,,1088,617,1478,0.417,145,440,0.33,318,461,0.69,262,919,366,206,69,455,382
