Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,28,13,15,0.464,-3.41,-4.49,,9,10,,11,4,,2,10,,1976,1880,,70.2,99.2,0.289,0.474,0.516,53.2,56.5,10.6,5.1,0.484,19.2,36.1,0.206
2,Air Force,31,15,16,0.484,-2.13,1.08,,8,10,,10,6,,5,8,,1981,2059,,70.7,90,0.214,0.338,0.471,45.5,52.5,15.5,5.4,0.438,17.8,29.5,0.162
3,Akron,28,10,18,0.357,-8.98,-4.77,,5,12,,5,8,,4,9,,1742,1860,,67.9,89.2,0.263,0.353,0.475,50.1,54.6,8.3,6.8,0.441,20,32.1,0.187
4,Alabama,31,23,8,0.742,22.51,9.71,,10,6,,15,3,,6,4,,2290,1893,,71.1,103.8,0.322,0.355,0.532,52.4,50.2,12.2,10.5,0.499,17.7,36.5,0.228
5,Alabama A&M,29,15,14,0.517,-11.48,-10.88,,10,7,,10,3,,4,10,,1790,1777,,70.6,86.6,0.313,0.235,0.455,52,49.2,11.5,7,0.415,20.8,36.2,0.216
6,Alabama State,28,3,25,0.107,-27.62,-2.91,,3,14,,1,8,,2,17,,1384,2076,,73,67.7,0.291,0.298,0.407,44.4,56.4,9.5,8.3,0.37,27.6,28.2,0.186
7,Albany (NY),29,24,5,0.828,-2.52,-10.38,,13,3,,13,1,,11,4,,1796,1485,,63.1,98.2,0.294,0.294,0.522,55.3,60,11.5,11,0.488,20.6,38.1,0.213
8,Alcorn State,28,9,19,0.321,-17.29,-5.84,,7,10,,6,5,,3,14,,1508,1784,,70.2,76.7,0.327,0.246,0.434,49.5,59.7,10.9,8.7,0.398,23,29.8,0.208
9,American,29,10,19,0.345,-14.35,-9.14,,8,10,,5,10,,5,9,,1752,1903,,70.4,85,0.273,0.284,0.469,47.7,62.8,12,4.2,0.436,20.6,28,0.187
10,Appalachian State,31,17,14,0.548,-1.56,-1.63,,9,9,,10,3,,4,11,,2236,2234,,77.4,92.9,0.344,0.377,0.485,48.8,51.9,11.6,6.5,0.446,18.9,32.9,0.237
11,Arizona,32,17,15,0.531,22.22,18.04,,8,10,,10,5,,4,7,,2238,2104,,70.1,96.8,0.282,0.228,0.513,47.6,55.1,16,10.7,0.476,17.8,30.7,0.212
12,Arizona State,31,11,20,0.355,8.93,17.58,,3,15,,7,9,,1,9,,1905,2173,,68.8,88.6,0.291,0.234,0.452,44.5,43.1,10.4,5.8,0.415,15.4,28.3,0.198
